Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-l5qr,checkpoint-yh8g,checkpoint-32xf,checkpoint-r79k,checkpoint-vhwm,branch-jtmv,branch-dn75,branch-6kna,Question Key,Response
1,1551368744334,28/02/2019 15:45:44,1551368748262,-6,28/02/2019 09:45:48,6235,13,questionnaire-6h95,,2239568,BLIND,610023,Faces,complete,,5c77ff11f48c6d0016f6efe7,computer,Desktop or Laptop,Windows 7,Chrome 72.0.3626.119,1600x900,1592x744,Finished phase 1,Male sequence instructions,7,Male,Finished phase 1,,,,Include,,,BEGIN QUESTIONNAIRE,
2,1551368752865,28/02/2019 15:45:52,1551368757162,-6,28/02/2019 09:45:57,6235,13,questionnaire-6h95,,2239568,BLIND,610023,Faces,complete,,5c77ff11f48c6d0016f6efe7,computer,Desktop or Laptop,Windows 7,Chrome 72.0.3626.119,1600x900,1592x744,Finished phase 1,Male sequence instructions,7,Male,Finished phase 1,,,,Include,,,END QUESTIONNAIRE,8900
1,1551369986962,28/02/2019 16:06:26,1551369944349,0,28/02/2019 16:05:44,6235,13,questionnaire-6h95,,2240991,BLIND,610259,Faces,complete,,5c7802d9cd7cef0001cb1f43,computer,Desktop or Laptop,Windows 10,Firefox 65.0,1440x900,1440x786,Finished phase 1,Male sequence instructions,7,Male,Finished phase 1,,,,Include,,,BEGIN QUESTIONNAIRE,
2,1551370028289,28/02/2019 16:07:08,1551369986347,0,28/02/2019 16:06:26,6235,13,questionnaire-6h95,,2240991,BLIND,610259,Faces,complete,,5c7802d9cd7cef0001cb1f43,computer,Desktop or Laptop,Windows 10,Firefox 65.0,1440x900,1440x786,Finished phase 1,Male sequence instructions,7,Male,Finished phase 1,,,,Include,,,END QUESTIONNAIRE,41998
1,1551370018305,28/02/2019 16:06:58,1551370017776,-5,28/02/2019 11:06:57,6235,13,questionnaire-6h95,,2241021,BLIND,610326,Faces,complete,,5c7803a09782c300191ccedc,computer,Desktop or Laptop,Windows 7,Chrome 72.0.3626.109,1366x768,1366x629,Finished phase 1,Male sequence instructions,7,Male,Finished phase 1,,,,Include,,,BEGIN QUESTIONNAIRE,
2,1551370022243,28/02/2019 16:07:02,1551370021552,-5,28/02/2019 11:07:01,6235,13,questionnaire-6h95,,2241021,BLIND,610326,Faces,complete,,5c7803a09782c300191ccedc,computer,Desktop or Laptop,Windows 7,Chrome 72.0.3626.109,1366x768,1366x629,Finished phase 1,Male sequence instructions,7,Male,Finished phase 1,,,,Include,,,END QUESTIONNAIRE,3776
1,1551370405184,28/02/2019 16:13:25,1551372169978,0,28/02/2019 16:42:49,6235,13,questionnaire-6h95,,2241245,BLIND,610422,Faces,complete,,5c7805243944800014300660,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1366x768,1366x625,Finished phase 1,Male sequence instructions,7,Male,Finished phase 1,,,,Include,,,BEGIN QUESTIONNAIRE,
2,1551370447091,28/02/2019 16:14:07,1551372211885,0,28/02/2019 16:43:31,6235,13,questionnaire-6h95,,2241245,BLIND,610422,Faces,complete,,5c7805243944800014300660,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1366x768,1366x625,Finished phase 1,Male sequence instructions,7,Male,Finished phase 1,,,,Include,,,END QUESTIONNAIRE,41907
1,1551370620753,28/02/2019 16:17:00,1551370620740,0,28/02/2019 16:17:00,6235,13,questionnaire-6h95,,2241355,BLIND,610458,Faces,complete,,5c7805b86c42650001af2997,computer,Desktop or Laptop,Windows 10,IE 11.0,1280x720,1280x607,Finished phase 1,Male sequence instructions,7,Male,Finished phase 1,,,,Include,,,BEGIN QUESTIONNAIRE,
2,1551370652495,28/02/2019 16:17:32,1551370652367,0,28/02/2019 16:17:32,6235,13,questionnaire-6h95,,2241355,BLIND,610458,Faces,complete,,5c7805b86c42650001af2997,computer,Desktop or Laptop,Windows 10,IE 11.0,1280x720,1280x607,Finished phase 1,Male sequence instructions,7,Male,Finished phase 1,,,,Include,,,END QUESTIONNAIRE,31627
