Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-l5qr,checkpoint-yh8g,checkpoint-32xf,checkpoint-r79k,checkpoint-vhwm,branch-jtmv,branch-dn75,branch-6kna,Question Key,Response
1,1551369529833,28/02/2019 15:58:49,1551371294584,0,28/02/2019 16:28:14,6235,13,questionnaire-72zo,,2240539,BLIND,610422,Faces,complete,,5c7805243944800014300660,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1366x768,1366x625,Finished phase 1,Extended consent FACES,11,Male,Finished phase 1,,,,Include,,,BEGIN QUESTIONNAIRE,
2,1551369591299,28/02/2019 15:59:51,1551371355943,0,28/02/2019 16:29:15,6235,13,questionnaire-72zo,,2240539,BLIND,610422,Faces,complete,,5c7805243944800014300660,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1366x768,1349x625,Finished phase 1,Extended consent FACES,11,Male,Finished phase 1,,,,Include,,,response-6,Yes
3,1551369591362,28/02/2019 15:59:51,1551371355950,0,28/02/2019 16:29:15,6235,13,questionnaire-72zo,,2240539,BLIND,610422,Faces,complete,,5c7805243944800014300660,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1366x768,1349x625,Finished phase 1,Extended consent FACES,11,Male,Finished phase 1,,,,Include,,,response-6-quantised,1
4,1551369591362,28/02/2019 15:59:51,1551371355951,0,28/02/2019 16:29:15,6235,13,questionnaire-72zo,,2240539,BLIND,610422,Faces,complete,,5c7805243944800014300660,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1366x768,1349x625,Finished phase 1,Extended consent FACES,11,Male,Finished phase 1,,,,Include,,,response-1,Yes
5,1551369591362,28/02/2019 15:59:51,1551371355951,0,28/02/2019 16:29:15,6235,13,questionnaire-72zo,,2240539,BLIND,610422,Faces,complete,,5c7805243944800014300660,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1366x768,1349x625,Finished phase 1,Extended consent FACES,11,Male,Finished phase 1,,,,Include,,,response-1-quantised,1
6,1551369591362,28/02/2019 15:59:51,1551371355952,0,28/02/2019 16:29:15,6235,13,questionnaire-72zo,,2240539,BLIND,610422,Faces,complete,,5c7805243944800014300660,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1366x768,1349x625,Finished phase 1,Extended consent FACES,11,Male,Finished phase 1,,,,Include,,,response-3,Yes
7,1551369591362,28/02/2019 15:59:51,1551371355957,0,28/02/2019 16:29:15,6235,13,questionnaire-72zo,,2240539,BLIND,610422,Faces,complete,,5c7805243944800014300660,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1366x768,1349x625,Finished phase 1,Extended consent FACES,11,Male,Finished phase 1,,,,Include,,,response-3-quantised,1
8,1551369591362,28/02/2019 15:59:51,1551371355957,0,28/02/2019 16:29:15,6235,13,questionnaire-72zo,,2240539,BLIND,610422,Faces,complete,,5c7805243944800014300660,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1366x768,1349x625,Finished phase 1,Extended consent FACES,11,Male,Finished phase 1,,,,Include,,,response-4,Yes
9,1551369591362,28/02/2019 15:59:51,1551371355958,0,28/02/2019 16:29:15,6235,13,questionnaire-72zo,,2240539,BLIND,610422,Faces,complete,,5c7805243944800014300660,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1366x768,1349x625,Finished phase 1,Extended consent FACES,11,Male,Finished phase 1,,,,Include,,,response-4-quantised,1
10,1551369591362,28/02/2019 15:59:51,1551371355959,0,28/02/2019 16:29:15,6235,13,questionnaire-72zo,,2240539,BLIND,610422,Faces,complete,,5c7805243944800014300660,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1366x768,1349x625,Finished phase 1,Extended consent FACES,11,Male,Finished phase 1,,,,Include,,,response-5,Yes
11,1551369591362,28/02/2019 15:59:51,1551371355960,0,28/02/2019 16:29:15,6235,13,questionnaire-72zo,,2240539,BLIND,610422,Faces,complete,,5c7805243944800014300660,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1366x768,1349x625,Finished phase 1,Extended consent FACES,11,Male,Finished phase 1,,,,Include,,,response-5-quantised,1
12,1551369591362,28/02/2019 15:59:51,1551371355960,0,28/02/2019 16:29:15,6235,13,questionnaire-72zo,,2240539,BLIND,610422,Faces,complete,,5c7805243944800014300660,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1366x768,1349x625,Finished phase 1,Extended consent FACES,11,Male,Finished phase 1,,,,Include,,,END QUESTIONNAIRE,61377
1,1551369635436,28/02/2019 16:00:35,1551369636698,-5,28/02/2019 11:00:36,6235,13,questionnaire-72zo,,2240641,BLIND,610439,Faces,complete,,5c7805944660bf0001c72930,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x1007,Finished phase 1,Extended consent FACES,11,Female,,Finished phase 1,,,Include,,,BEGIN QUESTIONNAIRE,
2,1551369669128,28/02/2019 16:01:09,1551369670585,-5,28/02/2019 11:01:10,6235,13,questionnaire-72zo,,2240641,BLIND,610439,Faces,complete,,5c7805944660bf0001c72930,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x1007,Finished phase 1,Extended consent FACES,11,Female,,Finished phase 1,,,Include,,,response-6,Yes
3,1551369669362,28/02/2019 16:01:09,1551369670587,-5,28/02/2019 11:01:10,6235,13,questionnaire-72zo,,2240641,BLIND,610439,Faces,complete,,5c7805944660bf0001c72930,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x1007,Finished phase 1,Extended consent FACES,11,Female,,Finished phase 1,,,Include,,,response-6-quantised,1
4,1551369669362,28/02/2019 16:01:09,1551369670587,-5,28/02/2019 11:01:10,6235,13,questionnaire-72zo,,2240641,BLIND,610439,Faces,complete,,5c7805944660bf0001c72930,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x1007,Finished phase 1,Extended consent FACES,11,Female,,Finished phase 1,,,Include,,,response-1,Yes
5,1551369669362,28/02/2019 16:01:09,1551369670587,-5,28/02/2019 11:01:10,6235,13,questionnaire-72zo,,2240641,BLIND,610439,Faces,complete,,5c7805944660bf0001c72930,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x1007,Finished phase 1,Extended consent FACES,11,Female,,Finished phase 1,,,Include,,,response-1-quantised,1
6,1551369669362,28/02/2019 16:01:09,1551369670587,-5,28/02/2019 11:01:10,6235,13,questionnaire-72zo,,2240641,BLIND,610439,Faces,complete,,5c7805944660bf0001c72930,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x1007,Finished phase 1,Extended consent FACES,11,Female,,Finished phase 1,,,Include,,,response-3,Yes
7,1551369669362,28/02/2019 16:01:09,1551369670587,-5,28/02/2019 11:01:10,6235,13,questionnaire-72zo,,2240641,BLIND,610439,Faces,complete,,5c7805944660bf0001c72930,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x1007,Finished phase 1,Extended consent FACES,11,Female,,Finished phase 1,,,Include,,,response-3-quantised,1
8,1551369669362,28/02/2019 16:01:09,1551369670587,-5,28/02/2019 11:01:10,6235,13,questionnaire-72zo,,2240641,BLIND,610439,Faces,complete,,5c7805944660bf0001c72930,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x1007,Finished phase 1,Extended consent FACES,11,Female,,Finished phase 1,,,Include,,,response-4,Yes
9,1551369669362,28/02/2019 16:01:09,1551369670587,-5,28/02/2019 11:01:10,6235,13,questionnaire-72zo,,2240641,BLIND,610439,Faces,complete,,5c7805944660bf0001c72930,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x1007,Finished phase 1,Extended consent FACES,11,Female,,Finished phase 1,,,Include,,,response-4-quantised,1
10,1551369669362,28/02/2019 16:01:09,1551369670587,-5,28/02/2019 11:01:10,6235,13,questionnaire-72zo,,2240641,BLIND,610439,Faces,complete,,5c7805944660bf0001c72930,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x1007,Finished phase 1,Extended consent FACES,11,Female,,Finished phase 1,,,Include,,,response-5,Yes
11,1551369669362,28/02/2019 16:01:09,1551369670588,-5,28/02/2019 11:01:10,6235,13,questionnaire-72zo,,2240641,BLIND,610439,Faces,complete,,5c7805944660bf0001c72930,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x1007,Finished phase 1,Extended consent FACES,11,Female,,Finished phase 1,,,Include,,,response-5-quantised,1
12,1551369669362,28/02/2019 16:01:09,1551369670588,-5,28/02/2019 11:01:10,6235,13,questionnaire-72zo,,2240641,BLIND,610439,Faces,complete,,5c7805944660bf0001c72930,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x1007,Finished phase 1,Extended consent FACES,11,Female,,Finished phase 1,,,Include,,,END QUESTIONNAIRE,33890
1,1551369757048,28/02/2019 16:02:37,1551369757010,0,28/02/2019 16:02:37,6235,13,questionnaire-72zo,,2240750,BLIND,610458,Faces,complete,,5c7805b86c42650001af2997,computer,Desktop or Laptop,Windows 10,IE 11.0,1280x720,1280x607,Finished phase 1,Extended consent FACES,11,Male,Finished phase 1,,,,Include,,,BEGIN QUESTIONNAIRE,
2,1551369785610,28/02/2019 16:03:05,1551369785495,0,28/02/2019 16:03:05,6235,13,questionnaire-72zo,,2240750,BLIND,610458,Faces,complete,,5c7805b86c42650001af2997,computer,Desktop or Laptop,Windows 10,IE 11.0,1280x720,1280x607,Finished phase 1,Extended consent FACES,11,Male,Finished phase 1,,,,Include,,,response-6,Yes
3,1551369785951,28/02/2019 16:03:05,1551369785523,0,28/02/2019 16:03:05,6235,13,questionnaire-72zo,,2240750,BLIND,610458,Faces,complete,,5c7805b86c42650001af2997,computer,Desktop or Laptop,Windows 10,IE 11.0,1280x720,1280x607,Finished phase 1,Extended consent FACES,11,Male,Finished phase 1,,,,Include,,,response-6-quantised,1
4,1551369785951,28/02/2019 16:03:05,1551369785523,0,28/02/2019 16:03:05,6235,13,questionnaire-72zo,,2240750,BLIND,610458,Faces,complete,,5c7805b86c42650001af2997,computer,Desktop or Laptop,Windows 10,IE 11.0,1280x720,1280x607,Finished phase 1,Extended consent FACES,11,Male,Finished phase 1,,,,Include,,,response-1,Yes
