Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-l5qr,checkpoint-yh8g,checkpoint-32xf,checkpoint-r79k,checkpoint-vhwm,branch-jtmv,branch-dn75,branch-6kna,Question Key,Response
1,1551370422010,28/02/2019 16:13:42,1551370421812,0,28/02/2019 16:13:41,6235,13,questionnaire-e4ch,,2241257,BLIND,610453,Faces,complete,,5c7805eb53be070015a3e545,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1080,1920x977,Finished phase 1,Female sequence instructions,6,Female,,Finished phase 1,,,Include,,,BEGIN QUESTIONNAIRE,
2,1551370453513,28/02/2019 16:14:13,1551370453474,0,28/02/2019 16:14:13,6235,13,questionnaire-e4ch,,2241257,BLIND,610453,Faces,complete,,5c7805eb53be070015a3e545,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1080,1920x977,Finished phase 1,Female sequence instructions,6,Female,,Finished phase 1,,,Include,,,END QUESTIONNAIRE,31662
1,1551371323943,28/02/2019 16:28:43,1551371368871,0,28/02/2019 16:29:28,6235,13,questionnaire-e4ch,,2241594,BLIND,610558,Faces,complete,,5c7808c6a2b09c0001a82534,computer,Desktop or Laptop,Windows 7,Chrome 72.0.3626.119,1920x1080,1920x969,Finished phase 1,Female sequence instructions,6,Female,,Finished phase 1,,,Include,,,BEGIN QUESTIONNAIRE,
2,1551371361315,28/02/2019 16:29:21,1551371406326,0,28/02/2019 16:30:06,6235,13,questionnaire-e4ch,,2241594,BLIND,610558,Faces,complete,,5c7808c6a2b09c0001a82534,computer,Desktop or Laptop,Windows 7,Chrome 72.0.3626.119,1920x1080,1920x969,Finished phase 1,Female sequence instructions,6,Female,,Finished phase 1,,,Include,,,END QUESTIONNAIRE,37456
1,1551371708558,28/02/2019 16:35:08,1551371708324,9,01/03/2019 01:35:08,6235,13,questionnaire-e4ch,,2241725,BLIND,610598,Faces,complete,,5c7809d4a4c1d00014f167bf,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 72.0.3626.109,1440x900,1381x762,Finished phase 1,Female sequence instructions,6,Female,,Finished phase 1,,,Include,,,BEGIN QUESTIONNAIRE,
2,1551371738736,28/02/2019 16:35:38,1551371738533,9,01/03/2019 01:35:38,6235,13,questionnaire-e4ch,,2241725,BLIND,610598,Faces,complete,,5c7809d4a4c1d00014f167bf,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 72.0.3626.109,1440x900,1381x762,Finished phase 1,Female sequence instructions,6,Female,,Finished phase 1,,,Include,,,END QUESTIONNAIRE,30210
1,1551371775543,28/02/2019 16:36:15,1551371774026,-5,28/02/2019 11:36:14,6235,13,questionnaire-e4ch,,2241753,BLIND,610624,Faces,complete,,5c780b42f066ff001568cfc9,computer,Desktop or Laptop,Windows 7,Chrome 72.0.3626.119,1680x1050,1680x939,Finished phase 1,Female sequence instructions,6,Female,,Finished phase 1,,,Include,,,BEGIN QUESTIONNAIRE,
2,1551371803534,28/02/2019 16:36:43,1551371802008,-5,28/02/2019 11:36:42,6235,13,questionnaire-e4ch,,2241753,BLIND,610624,Faces,complete,,5c780b42f066ff001568cfc9,computer,Desktop or Laptop,Windows 7,Chrome 72.0.3626.119,1680x1050,1680x939,Finished phase 1,Female sequence instructions,6,Female,,Finished phase 1,,,Include,,,END QUESTIONNAIRE,27983
1,1551371935530,28/02/2019 16:38:55,1551371936280,-5,28/02/2019 11:38:56,6235,13,questionnaire-e4ch,,2241801,BLIND,610627,Faces,complete,,5c780b6b2bb1db0001a02529,computer,Desktop or Laptop,Mac OS 10.9.5,Chrome 67.0.3396.87,1280x800,1280x677,Finished phase 1,Female sequence instructions,6,Female,,Finished phase 1,,,Include,,,BEGIN QUESTIONNAIRE,
2,1551371961266,28/02/2019 16:39:21,1551371960030,-5,28/02/2019 11:39:20,6235,13,questionnaire-e4ch,,2241801,BLIND,610627,Faces,complete,,5c780b6b2bb1db0001a02529,computer,Desktop or Laptop,Mac OS 10.9.5,Chrome 67.0.3396.87,1280x800,1280x677,Finished phase 1,Female sequence instructions,6,Female,,Finished phase 1,,,Include,,,END QUESTIONNAIRE,23750
1,1551371959769,28/02/2019 16:39:19,1551371956766,-5,28/02/2019 11:39:16,6235,13,questionnaire-e4ch,,2241811,BLIND,610611,Faces,complete,,5c780a9f8b75ee0001b6f806,computer,Desktop or Laptop,Windows 7,Chrome 72.0.3626.119,1920x1080,1858x1009,Finished phase 1,Female sequence instructions,6,Female,,Finished phase 1,,,Include,,,BEGIN QUESTIONNAIRE,
2,1551372014833,28/02/2019 16:40:14,1551372011895,-5,28/02/2019 11:40:11,6235,13,questionnaire-e4ch,,2241811,BLIND,610611,Faces,complete,,5c780a9f8b75ee0001b6f806,computer,Desktop or Laptop,Windows 7,Chrome 72.0.3626.119,1920x1080,1858x1009,Finished phase 1,Female sequence instructions,6,Female,,Finished phase 1,,,Include,,,END QUESTIONNAIRE,55129
1,1551372050505,28/02/2019 16:40:50,1551372036262,-4,28/02/2019 12:40:36,6235,13,questionnaire-e4ch,,2241836,BLIND,610668,Faces,complete,,5c780cf3ffaec400019b2959,computer,Desktop or Laptop,Windows 7,Chrome 72.0.3626.119,1920x1080,1920x1007,Finished phase 1,Female sequence instructions,6,Female,,Finished phase 1,,,Include,,,BEGIN QUESTIONNAIRE,
2,1551372084698,28/02/2019 16:41:24,1551372070496,-4,28/02/2019 12:41:10,6235,13,questionnaire-e4ch,,2241836,BLIND,610668,Faces,complete,,5c780cf3ffaec400019b2959,computer,Desktop or Laptop,Windows 7,Chrome 72.0.3626.119,1920x1080,1920x1007,Finished phase 1,Female sequence instructions,6,Female,,Finished phase 1,,,Include,,,END QUESTIONNAIRE,34234
1,1551372087056,28/02/2019 16:41:27,1551372086929,-5,28/02/2019 11:41:26,6235,13,questionnaire-e4ch,,2241845,BLIND,610665,Faces,complete,,5c780cf092edb30017dc0766,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1200,1920x1057,Finished phase 1,Female sequence instructions,6,Female,,Finished phase 1,,,Include,,,BEGIN QUESTIONNAIRE,
2,1551372110596,28/02/2019 16:41:50,1551372110058,-5,28/02/2019 11:41:50,6235,13,questionnaire-e4ch,,2241845,BLIND,610665,Faces,complete,,5c780cf092edb30017dc0766,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1200,1920x1057,Finished phase 1,Female sequence instructions,6,Female,,Finished phase 1,,,Include,,,END QUESTIONNAIRE,23129
1,1551372158388,28/02/2019 16:42:38,1551372159556,-5,28/02/2019 11:42:39,6235,13,questionnaire-e4ch,,2241862,BLIND,610663,Faces,complete,,5c780ce43bc6a50016922c60,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1080,1920x937,Finished phase 1,Female sequence instructions,6,Female,,Finished phase 1,,,Include,,,BEGIN QUESTIONNAIRE,
2,1551372203456,28/02/2019 16:43:23,1551372204493,-5,28/02/2019 11:43:24,6235,13,questionnaire-e4ch,,2241862,BLIND,610663,Faces,complete,,5c780ce43bc6a50016922c60,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1080,1920x937,Finished phase 1,Female sequence instructions,6,Female,,Finished phase 1,,,Include,,,END QUESTIONNAIRE,44937
1,1551372186755,28/02/2019 16:43:06,1551372187998,-5,28/02/2019 11:43:07,6235,13,questionnaire-e4ch,,2241874,BLIND,610669,Faces,complete,,5c780cfcc9e709001583aa24,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1080,1920x969,Finished phase 1,Female sequence instructions,6,Female,,Finished phase 1,,,Include,,,BEGIN QUESTIONNAIRE,
2,1551372201252,28/02/2019 16:43:21,1551372202560,-5,28/02/2019 11:43:22,6235,13,questionnaire-e4ch,,2241874,BLIND,610669,Faces,complete,,5c780cfcc9e709001583aa24,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1080,1920x969,Finished phase 1,Female sequence instructions,6,Female,,Finished phase 1,,,Include,,,END QUESTIONNAIRE,14562
1,1551372356707,28/02/2019 16:45:56,1551372357123,0,28/02/2019 16:45:57,6235,13,questionnaire-e4ch,,2241924,BLIND,610651,Faces,complete,,5c780c49d81ffd0001dffd20,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1366x768,1366x657,Finished phase 1,Female sequence instructions,6,Female,,Finished phase 1,,,Include,,,BEGIN QUESTIONNAIRE,
2,1551372397028,28/02/2019 16:46:37,1551372397433,0,28/02/2019 16:46:37,6235,13,questionnaire-e4ch,,2241924,BLIND,610651,Faces,complete,,5c780c49d81ffd0001dffd20,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1366x768,1366x657,Finished phase 1,Female sequence instructions,6,Female,,Finished phase 1,,,Include,,,END QUESTIONNAIRE,40311
1,1551372405107,28/02/2019 16:46:45,1551372404959,-5,28/02/2019 11:46:44,6235,13,questionnaire-e4ch,,2241933,BLIND,610698,Faces,complete,,5c780dc50f7df90001e1fc74,computer,Desktop or Laptop,Mac OS 10.13.6,Opera 58.0.3135.68,1280x800,1280x612,Finished phase 1,Female sequence instructions,6,Female,,Finished phase 1,,,Include,,,BEGIN QUESTIONNAIRE,
2,1551372453533,28/02/2019 16:47:33,1551372448564,-5,28/02/2019 11:47:28,6235,13,questionnaire-e4ch,,2241933,BLIND,610698,Faces,complete,,5c780dc50f7df90001e1fc74,computer,Desktop or Laptop,Mac OS 10.13.6,Opera 58.0.3135.68,1280x800,1280x612,Finished phase 1,Female sequence instructions,6,Female,,Finished phase 1,,,Include,,,END QUESTIONNAIRE,43605
1,1551372417964,28/02/2019 16:46:57,1551372417835,0,28/02/2019 16:46:57,6235,13,questionnaire-e4ch,,2241937,BLIND,610678,Faces,complete,,5c780d533454d70015df8040,computer,Desktop or Laptop,Mac OS 10.14,Safari 12.0,1280x800,1280x646,Finished phase 1,Female sequence instructions,6,Female,,Finished phase 1,,,Include,,,BEGIN QUESTIONNAIRE,
2,1551372458423,28/02/2019 16:47:38,1551372458311,0,28/02/2019 16:47:38,6235,13,questionnaire-e4ch,,2241937,BLIND,610678,Faces,complete,,5c780d533454d70015df8040,computer,Desktop or Laptop,Mac OS 10.14,Safari 12.0,1280x800,1280x646,Finished phase 1,Female sequence instructions,6,Female,,Finished phase 1,,,Include,,,END QUESTIONNAIRE,40476
1,1551372500110,28/02/2019 16:48:20,1551372499040,0,28/02/2019 16:48:19,6235,13,questionnaire-e4ch,,2241951,BLIND,610688,Faces,complete,,5c780d8af066ff001568cfda,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1280x720,1280x578,Finished phase 1,Female sequence instructions,6,Female,,Finished phase 1,,,Include,,,BEGIN QUESTIONNAIRE,
2,1551372512730,28/02/2019 16:48:32,1551372511705,0,28/02/2019 16:48:31,6235,13,questionnaire-e4ch,,2241951,BLIND,610688,Faces,complete,,5c780d8af066ff001568cfda,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1280x720,1280x578,Finished phase 1,Female sequence instructions,6,Female,,Finished phase 1,,,Include,,,END QUESTIONNAIRE,12666
1,1551372527982,28/02/2019 16:48:47,1551372527873,-5,28/02/2019 11:48:47,6235,13,questionnaire-e4ch,,2241956,BLIND,610690,Faces,complete,,5c780d99eaf40f0001c8ef4d,computer,Desktop or Laptop,Linux x86_64,Firefox 65.0,2560x1440,2524x1272,Finished phase 1,Female sequence instructions,6,Female,,Finished phase 1,,,Include,,,BEGIN QUESTIONNAIRE,
2,1551372532732,28/02/2019 16:48:52,1551372532664,-5,28/02/2019 11:48:52,6235,13,questionnaire-e4ch,,2241956,BLIND,610690,Faces,complete,,5c780d99eaf40f0001c8ef4d,computer,Desktop or Laptop,Linux x86_64,Firefox 65.0,2560x1440,2524x1272,Finished phase 1,Female sequence instructions,6,Female,,Finished phase 1,,,Include,,,END QUESTIONNAIRE,4792
1,1551372712848,28/02/2019 16:51:52,1551372711602,-8,28/02/2019 08:51:51,6235,13,questionnaire-e4ch,,2241977,BLIND,610694,Faces,complete,,5c780d872819ab0001b951c5,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,2560x1440,2560x1298,Finished phase 1,Female sequence instructions,6,Female,,Finished phase 1,,,Include,,,BEGIN QUESTIONNAIRE,
2,1551372744240,28/02/2019 16:52:24,1551372743041,-8,28/02/2019 08:52:23,6235,13,questionnaire-e4ch,,2241977,BLIND,610694,Faces,complete,,5c780d872819ab0001b951c5,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,2560x1440,2560x1298,Finished phase 1,Female sequence instructions,6,Female,,Finished phase 1,,,Include,,,END QUESTIONNAIRE,31438
1,1551374242593,28/02/2019 17:17:22,1551374240913,0,28/02/2019 17:17:20,6235,13,questionnaire-e4ch,,2242509,BLIND,610756,Faces,complete,,5c78106f39dc0f0001b7adee,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x937,Finished phase 1,Female sequence instructions,6,Female,,Finished phase 1,,,Include,,,BEGIN QUESTIONNAIRE,
2,1551374272115,28/02/2019 17:17:52,1551374270434,0,28/02/2019 17:17:50,6235,13,questionnaire-e4ch,,2242509,BLIND,610756,Faces,complete,,5c78106f39dc0f0001b7adee,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x937,Finished phase 1,Female sequence instructions,6,Female,,Finished phase 1,,,Include,,,END QUESTIONNAIRE,29521
1,1551456129102,01/03/2019 16:02:09,1551456119915,-5,01/03/2019 11:01:59,6235,13,questionnaire-e4ch,,2249264,BLIND,612918,Faces,complete,,5c79543f6fa7560016824a7c,computer,Desktop or Laptop,Windows 7,Chrome 72.0.3626.119,1600x900,1600x767,Finished phase 1,Female sequence instructions,6,Female,,Finished phase 1,,,Include,,,BEGIN QUESTIONNAIRE,
2,1551456160416,01/03/2019 16:02:40,1551456150953,-5,01/03/2019 11:02:30,6235,13,questionnaire-e4ch,,2249264,BLIND,612918,Faces,complete,,5c79543f6fa7560016824a7c,computer,Desktop or Laptop,Windows 7,Chrome 72.0.3626.119,1600x900,1600x767,Finished phase 1,Female sequence instructions,6,Female,,Finished phase 1,,,Include,,,END QUESTIONNAIRE,31039
1,1551376450734,28/02/2019 17:54:10,1551376424875,-6,28/02/2019 11:53:44,6235,13,questionnaire-e4ch,,2243518,BLIND,611076,Faces,complete,,5c781c55a3cf2200018a0653,computer,Desktop or Laptop,Windows 8.1,Chrome 72.0.3626.119,1440x900,1236x680,Finished phase 1,Female sequence instructions,6,Female,,Finished phase 1,,,Include,,,BEGIN QUESTIONNAIRE,
2,1551376490565,28/02/2019 17:54:50,1551376464438,-6,28/02/2019 11:54:24,6235,13,questionnaire-e4ch,,2243518,BLIND,611076,Faces,complete,,5c781c55a3cf2200018a0653,computer,Desktop or Laptop,Windows 8.1,Chrome 72.0.3626.119,1440x900,1236x680,Finished phase 1,Female sequence instructions,6,Female,,Finished phase 1,,,Include,,,END QUESTIONNAIRE,39563
1,1551373538588,28/02/2019 17:05:38,1551373537700,0,28/02/2019 17:05:37,6235,13,questionnaire-e4ch,,2242056,BLIND,610628,Faces,complete,,5c780b7bffaec400019b2950,computer,Desktop or Laptop,Linux x86_64,Chrome 72.0.3626.105,720x360,980x405,Finished phase 1,Female sequence instructions,6,Female,,Finished phase 1,,,Include,,,BEGIN QUESTIONNAIRE,
2,1551373565200,28/02/2019 17:06:05,1551373564424,0,28/02/2019 17:06:04,6235,13,questionnaire-e4ch,,2242056,BLIND,610628,Faces,complete,,5c780b7bffaec400019b2950,computer,Desktop or Laptop,Linux x86_64,Chrome 72.0.3626.105,720x360,980x405,Finished phase 1,Female sequence instructions,6,Female,,Finished phase 1,,,Include,,,END QUESTIONNAIRE,26725
1,1551370434744,28/02/2019 16:13:54,1551369696754,-6,28/02/2019 10:01:36,6235,13,questionnaire-e4ch,,2241263,BLIND,610441,Faces,complete,,5c78059eaaf8870016c858c3,computer,Desktop or Laptop,Windows 7,Chrome 72.0.3626.109,1280x1024,1280x923,Finished phase 1,Female sequence instructions,6,Female,,Finished phase 1,,,Include,,,BEGIN QUESTIONNAIRE,
2,1551370505871,28/02/2019 16:15:05,1551369766380,-6,28/02/2019 10:02:46,6235,13,questionnaire-e4ch,,2241263,BLIND,610441,Faces,complete,,5c78059eaaf8870016c858c3,computer,Desktop or Laptop,Windows 7,Chrome 72.0.3626.109,1280x1024,1280x923,Finished phase 1,Female sequence instructions,6,Female,,Finished phase 1,,,Include,,,END QUESTIONNAIRE,69626
