Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-l5qr,checkpoint-yh8g,checkpoint-32xf,checkpoint-r79k,checkpoint-vhwm,branch-jtmv,branch-dn75,branch-6kna,Question Key,Response
1,1551368017379,28/02/2019 15:33:37,1551368021542,-6,28/02/2019 09:33:41,6235,13,questionnaire-w4aq,,2238847,BLIND,610023,Faces,complete,,5c77ff11f48c6d0016f6efe7,computer,Desktop or Laptop,Windows 7,Chrome 72.0.3626.119,1600x900,1592x744,Finished phase 1,Demographics + preference FACES,11,Male,Finished phase 1,,,,Include,,,BEGIN QUESTIONNAIRE,
2,1551368036610,28/02/2019 15:33:56,1551368040514,-6,28/02/2019 09:34:00,6235,13,questionnaire-w4aq,,2238847,BLIND,610023,Faces,complete,,5c77ff11f48c6d0016f6efe7,computer,Desktop or Laptop,Windows 7,Chrome 72.0.3626.119,1600x900,1592x744,Finished phase 1,Demographics + preference FACES,11,Male,Finished phase 1,,,,Include,,,response-3,31
3,1551368036766,28/02/2019 15:33:56,1551368040518,-6,28/02/2019 09:34:00,6235,13,questionnaire-w4aq,,2238847,BLIND,610023,Faces,complete,,5c77ff11f48c6d0016f6efe7,computer,Desktop or Laptop,Windows 7,Chrome 72.0.3626.119,1600x900,1592x744,Finished phase 1,Demographics + preference FACES,11,Male,Finished phase 1,,,,Include,,,response-4,Female
4,1551368036766,28/02/2019 15:33:56,1551368040518,-6,28/02/2019 09:34:00,6235,13,questionnaire-w4aq,,2238847,BLIND,610023,Faces,complete,,5c77ff11f48c6d0016f6efe7,computer,Desktop or Laptop,Windows 7,Chrome 72.0.3626.119,1600x900,1592x744,Finished phase 1,Demographics + preference FACES,11,Male,Finished phase 1,,,,Include,,,response-4-quantised,2
5,1551368036766,28/02/2019 15:33:56,1551368040518,-6,28/02/2019 09:34:00,6235,13,questionnaire-w4aq,,2238847,BLIND,610023,Faces,complete,,5c77ff11f48c6d0016f6efe7,computer,Desktop or Laptop,Windows 7,Chrome 72.0.3626.119,1600x900,1592x744,Finished phase 1,Demographics + preference FACES,11,Male,Finished phase 1,,,,Include,,,response-5,United States
6,1551368036766,28/02/2019 15:33:56,1551368040518,-6,28/02/2019 09:34:00,6235,13,questionnaire-w4aq,,2238847,BLIND,610023,Faces,complete,,5c77ff11f48c6d0016f6efe7,computer,Desktop or Laptop,Windows 7,Chrome 72.0.3626.119,1600x900,1592x744,Finished phase 1,Demographics + preference FACES,11,Male,Finished phase 1,,,,Include,,,response-5-quantised,6
7,1551368036766,28/02/2019 15:33:56,1551368040519,-6,28/02/2019 09:34:00,6235,13,questionnaire-w4aq,,2238847,BLIND,610023,Faces,complete,,5c77ff11f48c6d0016f6efe7,computer,Desktop or Laptop,Windows 7,Chrome 72.0.3626.119,1600x900,1592x744,Finished phase 1,Demographics + preference FACES,11,Male,Finished phase 1,,,,Include,,,response-5-text,
8,1551368036766,28/02/2019 15:33:56,1551368040519,-6,28/02/2019 09:34:00,6235,13,questionnaire-w4aq,,2238847,BLIND,610023,Faces,complete,,5c77ff11f48c6d0016f6efe7,computer,Desktop or Laptop,Windows 7,Chrome 72.0.3626.119,1600x900,1592x744,Finished phase 1,Demographics + preference FACES,11,Male,Finished phase 1,,,,Include,,,Participant_preference,Male
9,1551368036766,28/02/2019 15:33:56,1551368040519,-6,28/02/2019 09:34:00,6235,13,questionnaire-w4aq,,2238847,BLIND,610023,Faces,complete,,5c77ff11f48c6d0016f6efe7,computer,Desktop or Laptop,Windows 7,Chrome 72.0.3626.119,1600x900,1592x744,Finished phase 1,Demographics + preference FACES,11,Male,Finished phase 1,,,,Include,,,Participant_preference-quantised,1
10,1551368036766,28/02/2019 15:33:56,1551368040519,-6,28/02/2019 09:34:00,6235,13,questionnaire-w4aq,,2238847,BLIND,610023,Faces,complete,,5c77ff11f48c6d0016f6efe7,computer,Desktop or Laptop,Windows 7,Chrome 72.0.3626.119,1600x900,1592x744,Finished phase 1,Demographics + preference FACES,11,Male,Finished phase 1,,,,Include,,,END QUESTIONNAIRE,18977
1,1551369182198,28/02/2019 15:53:02,1551369181094,0,28/02/2019 15:53:01,6235,13,questionnaire-w4aq,,2240120,BLIND,610321,Faces,complete,,5c7803a537d77b00168b515a,computer,Desktop or Laptop,Chromium OS 11316.148.0,Chrome 72.0.3626.117,1366x768,1366x697,Finished phase 1,Demographics + preference FACES,11,Female,,Finished phase 1,,,Include,,,BEGIN QUESTIONNAIRE,
2,1551369218993,28/02/2019 15:53:38,1551369217960,0,28/02/2019 15:53:37,6235,13,questionnaire-w4aq,,2240120,BLIND,610321,Faces,complete,,5c7803a537d77b00168b515a,computer,Desktop or Laptop,Chromium OS 11316.148.0,Chrome 72.0.3626.117,1366x768,1366x697,Finished phase 1,Demographics + preference FACES,11,Female,,Finished phase 1,,,Include,,,response-3,34
3,1551369219306,28/02/2019 15:53:39,1551369217967,0,28/02/2019 15:53:37,6235,13,questionnaire-w4aq,,2240120,BLIND,610321,Faces,complete,,5c7803a537d77b00168b515a,computer,Desktop or Laptop,Chromium OS 11316.148.0,Chrome 72.0.3626.117,1366x768,1366x697,Finished phase 1,Demographics + preference FACES,11,Female,,Finished phase 1,,,Include,,,response-4,Female
4,1551369219306,28/02/2019 15:53:39,1551369217968,0,28/02/2019 15:53:37,6235,13,questionnaire-w4aq,,2240120,BLIND,610321,Faces,complete,,5c7803a537d77b00168b515a,computer,Desktop or Laptop,Chromium OS 11316.148.0,Chrome 72.0.3626.117,1366x768,1366x697,Finished phase 1,Demographics + preference FACES,11,Female,,Finished phase 1,,,Include,,,response-4-quantised,2
