Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-l5qr,checkpoint-yh8g,checkpoint-32xf,checkpoint-r79k,checkpoint-vhwm,branch-jtmv,branch-dn75,branch-6kna,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,Spreadsheet Name,randomise_blocks,randomise_trials,display,ANSWER,chosen face,not chosen face,rand_male_face1,rand_male_face2,rand_male_face3,rand_male_face4,rand_male_face5,rand_male_face6,rand_male_face7,rand_male_face8,image_male,Participant_preference,face_rating,random number,fixation_times
1,1551368755678,28/02/2019 15:45:55,1551368759822,-6,28/02/2019 09:45:59,6235,13,task-dvb3,,2239581,BLIND,610023,Faces,complete,,5c77ff11f48c6d0016f6efe7,computer,Desktop or Laptop,Windows 7,Chrome 72.0.3626.119,1600x900,1592x744,Finished phase 1,Male sequence,8,Male,Finished phase 1,,,,Include,,,BEGIN TASK,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
2,1551368771865,28/02/2019 15:46:11,1551368776129,-6,28/02/2019 09:46:16,6235,13,task-dvb3,,2239581,BLIND,610023,Faces,complete,,5c77ff11f48c6d0016f6efe7,computer,Desktop or Laptop,Windows 7,Chrome 72.0.3626.119,1600x900,1592x744,Finished phase 1,Male sequence,8,Male,Finished phase 1,,,,Include,,,,1,option1,Zone1,response_button_text,14930.254999999306,See next option,1,0,1,0,,,,Spreadsheet1,,1,sequence,,,,Google_1_John Felker_3_oval.jpg,Google_1_James Vandenberg_5_oval.jpg,Google_1_Kevin Boren_1_oval.jpg,Google_1_Jacob Fields_15_oval.jpg,Google_1_Edward Kiely_15_oval.jpg,Google_1_Jeffrey Tincher_1_oval.jpg,Google_1_Christopher Baylor_5_oval.jpg,Google_1_Jason Penner_7_oval.jpg,,,,,
3,1551368773584,28/02/2019 15:46:13,1551368777853,-6,28/02/2019 09:46:17,6235,13,task-dvb3,,2239581,BLIND,610023,Faces,complete,,5c77ff11f48c6d0016f6efe7,computer,Desktop or Laptop,Windows 7,Chrome 72.0.3626.119,1600x900,1592x744,Finished phase 1,Male sequence,8,Male,Finished phase 1,,,,Include,,,,2,option2,Zone1,response_button_text,1700.1499999996668,See next option,1,0,1,0,,,,Spreadsheet1,,1,sequence,,,,Google_1_John Felker_3_oval.jpg,Google_1_James Vandenberg_5_oval.jpg,Google_1_Kevin Boren_1_oval.jpg,Google_1_Jacob Fields_15_oval.jpg,Google_1_Edward Kiely_15_oval.jpg,Google_1_Jeffrey Tincher_1_oval.jpg,Google_1_Christopher Baylor_5_oval.jpg,Google_1_Jason Penner_7_oval.jpg,,,,,
4,1551368775743,28/02/2019 15:46:15,1551368779964,-6,28/02/2019 09:46:19,6235,13,task-dvb3,,2239581,BLIND,610023,Faces,complete,,5c77ff11f48c6d0016f6efe7,computer,Desktop or Laptop,Windows 7,Chrome 72.0.3626.119,1600x900,1592x744,Finished phase 1,Male sequence,8,Male,Finished phase 1,,,,Include,,,,3,option3,Zone1,response_button_text,2075.2900000006775,See next option,1,0,1,0,,,,Spreadsheet1,,1,sequence,,,,Google_1_John Felker_3_oval.jpg,Google_1_James Vandenberg_5_oval.jpg,Google_1_Kevin Boren_1_oval.jpg,Google_1_Jacob Fields_15_oval.jpg,Google_1_Edward Kiely_15_oval.jpg,Google_1_Jeffrey Tincher_1_oval.jpg,Google_1_Christopher Baylor_5_oval.jpg,Google_1_Jason Penner_7_oval.jpg,,,,,
5,1551368776615,28/02/2019 15:46:16,1551368780878,-6,28/02/2019 09:46:20,6235,13,task-dvb3,,2239581,BLIND,610023,Faces,complete,,5c77ff11f48c6d0016f6efe7,computer,Desktop or Laptop,Windows 7,Chrome 72.0.3626.119,1600x900,1592x744,Finished phase 1,Male sequence,8,Male,Finished phase 1,,,,Include,,,,4,option4,Zone1,response_button_text,883.1600000003164,See next option,1,0,1,0,,,,Spreadsheet1,,1,sequence,,,,Google_1_John Felker_3_oval.jpg,Google_1_James Vandenberg_5_oval.jpg,Google_1_Kevin Boren_1_oval.jpg,Google_1_Jacob Fields_15_oval.jpg,Google_1_Edward Kiely_15_oval.jpg,Google_1_Jeffrey Tincher_1_oval.jpg,Google_1_Christopher Baylor_5_oval.jpg,Google_1_Jason Penner_7_oval.jpg,,,,,
6,1551368779709,28/02/2019 15:46:19,1551368783924,-6,28/02/2019 09:46:23,6235,13,task-dvb3,,2239581,BLIND,610023,Faces,complete,,5c77ff11f48c6d0016f6efe7,computer,Desktop or Laptop,Windows 7,Chrome 72.0.3626.119,1600x900,1592x744,Finished phase 1,Male sequence,8,Male,Finished phase 1,,,,Include,,,,5,option5,Zone1,response_button_text,3009.049999999661,See next option,1,0,1,0,,,,Spreadsheet1,,1,sequence,,,,Google_1_John Felker_3_oval.jpg,Google_1_James Vandenberg_5_oval.jpg,Google_1_Kevin Boren_1_oval.jpg,Google_1_Jacob Fields_15_oval.jpg,Google_1_Edward Kiely_15_oval.jpg,Google_1_Jeffrey Tincher_1_oval.jpg,Google_1_Christopher Baylor_5_oval.jpg,Google_1_Jason Penner_7_oval.jpg,,,,,
7,1551368780475,28/02/2019 15:46:20,1551368784669,-6,28/02/2019 09:46:24,6235,13,task-dvb3,,2239581,BLIND,610023,Faces,complete,,5c77ff11f48c6d0016f6efe7,computer,Desktop or Laptop,Windows 7,Chrome 72.0.3626.119,1600x900,1592x744,Finished phase 1,Male sequence,8,Male,Finished phase 1,,,,Include,,,,6,option6,Zone1,response_button_text,715.2599999999438,See next option,1,0,1,0,,,,Spreadsheet1,,1,sequence,,,,Google_1_John Felker_3_oval.jpg,Google_1_James Vandenberg_5_oval.jpg,Google_1_Kevin Boren_1_oval.jpg,Google_1_Jacob Fields_15_oval.jpg,Google_1_Edward Kiely_15_oval.jpg,Google_1_Jeffrey Tincher_1_oval.jpg,Google_1_Christopher Baylor_5_oval.jpg,Google_1_Jason Penner_7_oval.jpg,,,,,
8,1551368782135,28/02/2019 15:46:22,1551368786340,-6,28/02/2019 09:46:26,6235,13,task-dvb3,,2239581,BLIND,610023,Faces,complete,,5c77ff11f48c6d0016f6efe7,computer,Desktop or Laptop,Windows 7,Chrome 72.0.3626.119,1600x900,1592x744,Finished phase 1,Male sequence,8,Male,Finished phase 1,,,,Include,,,,7,option7,Zone1,response_button_text,1636.4050000001953,See next option,1,0,1,0,,,,Spreadsheet1,,1,sequence,,,,Google_1_John Felker_3_oval.jpg,Google_1_James Vandenberg_5_oval.jpg,Google_1_Kevin Boren_1_oval.jpg,Google_1_Jacob Fields_15_oval.jpg,Google_1_Edward Kiely_15_oval.jpg,Google_1_Jeffrey Tincher_1_oval.jpg,Google_1_Christopher Baylor_5_oval.jpg,Google_1_Jason Penner_7_oval.jpg,,,,,
9,1551368796472,28/02/2019 15:46:36,1551368800596,-6,28/02/2019 09:46:40,6235,13,task-dvb3,,2239581,BLIND,610023,Faces,complete,,5c77ff11f48c6d0016f6efe7,computer,Desktop or Laptop,Windows 7,Chrome 72.0.3626.119,1600x900,1592x744,Finished phase 1,Male sequence,8,Male,Finished phase 1,,,,Include,,,,8,option8,Zone1,response_button_image,14216.929999999593,Google_1_Jason Penner_7_oval.jpg,1,1,0,0,,,,Spreadsheet1,,1,sequence,,,,Google_1_John Felker_3_oval.jpg,Google_1_James Vandenberg_5_oval.jpg,Google_1_Kevin Boren_1_oval.jpg,Google_1_Jacob Fields_15_oval.jpg,Google_1_Edward Kiely_15_oval.jpg,Google_1_Jeffrey Tincher_1_oval.jpg,Google_1_Christopher Baylor_5_oval.jpg,Google_1_Jason Penner_7_oval.jpg,,,,,
10,1551368796752,28/02/2019 15:46:36,1551368800671,-6,28/02/2019 09:46:40,6235,13,task-dvb3,,2239581,BLIND,610023,Faces,complete,,5c77ff11f48c6d0016f6efe7,computer,Desktop or Laptop,Windows 7,Chrome 72.0.3626.119,1600x900,1592x744,Finished phase 1,Male sequence,8,Male,Finished phase 1,,,,Include,,,,16,congratulations,rating19,response_slider_initialValue,0,50,,0,1,0,,,,Spreadsheet1,,1,sequence,,,,Google_1_John Felker_3_oval.jpg,Google_1_James Vandenberg_5_oval.jpg,Google_1_Kevin Boren_1_oval.jpg,Google_1_Jacob Fields_15_oval.jpg,Google_1_Edward Kiely_15_oval.jpg,Google_1_Jeffrey Tincher_1_oval.jpg,Google_1_Christopher Baylor_5_oval.jpg,Google_1_Jason Penner_7_oval.jpg,,,,,
