Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-l5qr,checkpoint-yh8g,checkpoint-32xf,checkpoint-r79k,checkpoint-vhwm,branch-jtmv,branch-dn75,branch-6kna,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,Spreadsheet Name,randomise_blocks,randomise_trials,display,ANSWER,rand_female_face1,rand_female_face2,rand_female_face3,rand_female_face4,rand_female_face5,rand_female_face6,rand_female_face7,rand_female_face8,chosen face,not chosen face,image_female,Participant_preference,face_rating,random number,fixation_times
1,1551370054236,28/02/2019 16:07:34,1551370053007,0,28/02/2019 16:07:33,6235,13,task-iyjb,,2241064,BLIND,610321,Faces,complete,,5c7803a537d77b00168b515a,computer,Desktop or Laptop,Chromium OS 11316.148.0,Chrome 72.0.3626.117,1366x768,1366x697,Finished phase 1,Female sequence,19,Female,,Finished phase 1,,,Include,,,BEGIN TASK,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
2,1551370078373,28/02/2019 16:07:58,1551370075314,0,28/02/2019 16:07:55,6235,13,task-iyjb,,2241064,BLIND,610321,Faces,complete,,5c7803a537d77b00168b515a,computer,Desktop or Laptop,Chromium OS 11316.148.0,Chrome 72.0.3626.117,1366x768,1366x697,Finished phase 1,Female sequence,19,Female,,Finished phase 1,,,Include,,,,1,option1,Zone1,response_button_text,19596.880000000965,See next option,1,0,1,0,,,,Spreadsheet1,,1,sequence,,Audrey_Bender_1_oval.jpg,Google_1_Edward Kowal_7_oval.jpg,Google_1_Jeffery Ables_1_oval.jpg,Google_1_Jennifer Sundberg_7_oval.jpg,Google_1_Jill Calvillo_13_oval.jpg,Google_1_Claudia Olivarez_9_oval.jpg,Google_1_James Thacker_11_oval.jpg,Google_1_Allison Geter_9_oval.jpg,,,,,,,
3,1551370078931,28/02/2019 16:07:58,1551370077169,0,28/02/2019 16:07:57,6235,13,task-iyjb,,2241064,BLIND,610321,Faces,complete,,5c7803a537d77b00168b515a,computer,Desktop or Laptop,Chromium OS 11316.148.0,Chrome 72.0.3626.117,1366x768,1366x697,Finished phase 1,Female sequence,19,Female,,Finished phase 1,,,Include,,,,2,option2,Zone1,response_button_text,1806.5850000002683,See next option,1,0,1,0,,,,Spreadsheet1,,1,sequence,,Audrey_Bender_1_oval.jpg,Google_1_Edward Kowal_7_oval.jpg,Google_1_Jeffery Ables_1_oval.jpg,Google_1_Jennifer Sundberg_7_oval.jpg,Google_1_Jill Calvillo_13_oval.jpg,Google_1_Claudia Olivarez_9_oval.jpg,Google_1_James Thacker_11_oval.jpg,Google_1_Allison Geter_9_oval.jpg,,,,,,,
4,1551370080822,28/02/2019 16:08:00,1551370079765,0,28/02/2019 16:07:59,6235,13,task-iyjb,,2241064,BLIND,610321,Faces,complete,,5c7803a537d77b00168b515a,computer,Desktop or Laptop,Chromium OS 11316.148.0,Chrome 72.0.3626.117,1366x768,1366x697,Finished phase 1,Female sequence,19,Female,,Finished phase 1,,,Include,,,,3,option3,Zone1,response_button_text,2551.454999998896,See next option,1,0,1,0,,,,Spreadsheet1,,1,sequence,,Audrey_Bender_1_oval.jpg,Google_1_Edward Kowal_7_oval.jpg,Google_1_Jeffery Ables_1_oval.jpg,Google_1_Jennifer Sundberg_7_oval.jpg,Google_1_Jill Calvillo_13_oval.jpg,Google_1_Claudia Olivarez_9_oval.jpg,Google_1_James Thacker_11_oval.jpg,Google_1_Allison Geter_9_oval.jpg,,,,,,,
5,1551370084260,28/02/2019 16:08:04,1551370083241,0,28/02/2019 16:08:03,6235,13,task-iyjb,,2241064,BLIND,610321,Faces,complete,,5c7803a537d77b00168b515a,computer,Desktop or Laptop,Chromium OS 11316.148.0,Chrome 72.0.3626.117,1366x768,1366x697,Finished phase 1,Female sequence,19,Female,,Finished phase 1,,,Include,,,,4,option4,Zone1,response_button_text,3428.4000000006927,See next option,1,0,1,0,,,,Spreadsheet1,,1,sequence,,Audrey_Bender_1_oval.jpg,Google_1_Edward Kowal_7_oval.jpg,Google_1_Jeffery Ables_1_oval.jpg,Google_1_Jennifer Sundberg_7_oval.jpg,Google_1_Jill Calvillo_13_oval.jpg,Google_1_Claudia Olivarez_9_oval.jpg,Google_1_James Thacker_11_oval.jpg,Google_1_Allison Geter_9_oval.jpg,,,,,,,
6,1551370085010,28/02/2019 16:08:05,1551370083997,0,28/02/2019 16:08:03,6235,13,task-iyjb,,2241064,BLIND,610321,Faces,complete,,5c7803a537d77b00168b515a,computer,Desktop or Laptop,Chromium OS 11316.148.0,Chrome 72.0.3626.117,1366x768,1366x697,Finished phase 1,Female sequence,19,Female,,Finished phase 1,,,Include,,,,5,option5,Zone1,response_button_text,692.1149999998306,See next option,1,0,1,0,,,,Spreadsheet1,,1,sequence,,Audrey_Bender_1_oval.jpg,Google_1_Edward Kowal_7_oval.jpg,Google_1_Jeffery Ables_1_oval.jpg,Google_1_Jennifer Sundberg_7_oval.jpg,Google_1_Jill Calvillo_13_oval.jpg,Google_1_Claudia Olivarez_9_oval.jpg,Google_1_James Thacker_11_oval.jpg,Google_1_Allison Geter_9_oval.jpg,,,,,,,
7,1551370085931,28/02/2019 16:08:05,1551370084905,0,28/02/2019 16:08:04,6235,13,task-iyjb,,2241064,BLIND,610321,Faces,complete,,5c7803a537d77b00168b515a,computer,Desktop or Laptop,Chromium OS 11316.148.0,Chrome 72.0.3626.117,1366x768,1366x697,Finished phase 1,Female sequence,19,Female,,Finished phase 1,,,Include,,,,6,option6,Zone1,response_button_text,843.5200000003533,See next option,1,0,1,0,,,,Spreadsheet1,,1,sequence,,Audrey_Bender_1_oval.jpg,Google_1_Edward Kowal_7_oval.jpg,Google_1_Jeffery Ables_1_oval.jpg,Google_1_Jennifer Sundberg_7_oval.jpg,Google_1_Jill Calvillo_13_oval.jpg,Google_1_Claudia Olivarez_9_oval.jpg,Google_1_James Thacker_11_oval.jpg,Google_1_Allison Geter_9_oval.jpg,,,,,,,
8,1551370087416,28/02/2019 16:08:07,1551370086421,0,28/02/2019 16:08:06,6235,13,task-iyjb,,2241064,BLIND,610321,Faces,complete,,5c7803a537d77b00168b515a,computer,Desktop or Laptop,Chromium OS 11316.148.0,Chrome 72.0.3626.117,1366x768,1366x697,Finished phase 1,Female sequence,19,Female,,Finished phase 1,,,Include,,,,7,option7,Zone1,response_button_text,1445.560000000114,See next option,1,0,1,0,,,,Spreadsheet1,,1,sequence,,Audrey_Bender_1_oval.jpg,Google_1_Edward Kowal_7_oval.jpg,Google_1_Jeffery Ables_1_oval.jpg,Google_1_Jennifer Sundberg_7_oval.jpg,Google_1_Jill Calvillo_13_oval.jpg,Google_1_Claudia Olivarez_9_oval.jpg,Google_1_James Thacker_11_oval.jpg,Google_1_Allison Geter_9_oval.jpg,,,,,,,
9,1551370112921,28/02/2019 16:08:32,1551370111913,0,28/02/2019 16:08:31,6235,13,task-iyjb,,2241064,BLIND,610321,Faces,complete,,5c7803a537d77b00168b515a,computer,Desktop or Laptop,Chromium OS 11316.148.0,Chrome 72.0.3626.117,1366x768,1366x697,Finished phase 1,Female sequence,19,Female,,Finished phase 1,,,Include,,,,8,option8,Zone1,response_button_image,25441.53500000175,Google_1_Allison Geter_9_oval.jpg,1,1,0,0,,,,Spreadsheet1,,1,sequence,,Audrey_Bender_1_oval.jpg,Google_1_Edward Kowal_7_oval.jpg,Google_1_Jeffery Ables_1_oval.jpg,Google_1_Jennifer Sundberg_7_oval.jpg,Google_1_Jill Calvillo_13_oval.jpg,Google_1_Claudia Olivarez_9_oval.jpg,Google_1_James Thacker_11_oval.jpg,Google_1_Allison Geter_9_oval.jpg,,,,,,,
10,1551370113374,28/02/2019 16:08:33,1551370112168,0,28/02/2019 16:08:32,6235,13,task-iyjb,,2241064,BLIND,610321,Faces,complete,,5c7803a537d77b00168b515a,computer,Desktop or Laptop,Chromium OS 11316.148.0,Chrome 72.0.3626.117,1366x768,1366x697,Finished phase 1,Female sequence,19,Female,,Finished phase 1,,,Include,,,,16,congratulations,rating19,response_slider_initialValue,0,50,,0,1,0,,,,Spreadsheet1,,1,sequence,,Audrey_Bender_1_oval.jpg,Google_1_Edward Kowal_7_oval.jpg,Google_1_Jeffery Ables_1_oval.jpg,Google_1_Jennifer Sundberg_7_oval.jpg,Google_1_Jill Calvillo_13_oval.jpg,Google_1_Claudia Olivarez_9_oval.jpg,Google_1_James Thacker_11_oval.jpg,Google_1_Allison Geter_9_oval.jpg,,,,,,,
