Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-l5qr,checkpoint-yh8g,checkpoint-32xf,checkpoint-r79k,checkpoint-vhwm,branch-jtmv,branch-dn75,branch-6kna,Question Key,Response
1,1551710582868,04/03/2019 14:43:02,1551710585123,-5,04/03/2019 09:43:05,6235,14,questionnaire-fkld,,2259894,BLIND,616176,Food,complete,,5c7d392e719aaf00019ffdaa,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1080,1523x976,Finished phase 1,Demographics FOOD,2,,,,Finished phase 1,,,Include,,BEGIN QUESTIONNAIRE,
2,1551710593070,04/03/2019 14:43:13,1551710595247,-5,04/03/2019 09:43:15,6235,14,questionnaire-fkld,,2259894,BLIND,616176,Food,complete,,5c7d392e719aaf00019ffdaa,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1080,1523x976,Finished phase 1,Demographics FOOD,2,,,,Finished phase 1,,,Include,,response-3,25
3,1551710593275,04/03/2019 14:43:13,1551710595248,-5,04/03/2019 09:43:15,6235,14,questionnaire-fkld,,2259894,BLIND,616176,Food,complete,,5c7d392e719aaf00019ffdaa,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1080,1523x976,Finished phase 1,Demographics FOOD,2,,,,Finished phase 1,,,Include,,response-4,Male
4,1551710593275,04/03/2019 14:43:13,1551710595248,-5,04/03/2019 09:43:15,6235,14,questionnaire-fkld,,2259894,BLIND,616176,Food,complete,,5c7d392e719aaf00019ffdaa,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1080,1523x976,Finished phase 1,Demographics FOOD,2,,,,Finished phase 1,,,Include,,response-4-quantised,1
5,1551710593275,04/03/2019 14:43:13,1551710595249,-5,04/03/2019 09:43:15,6235,14,questionnaire-fkld,,2259894,BLIND,616176,Food,complete,,5c7d392e719aaf00019ffdaa,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1080,1523x976,Finished phase 1,Demographics FOOD,2,,,,Finished phase 1,,,Include,,response-5,United States
6,1551710593275,04/03/2019 14:43:13,1551710595249,-5,04/03/2019 09:43:15,6235,14,questionnaire-fkld,,2259894,BLIND,616176,Food,complete,,5c7d392e719aaf00019ffdaa,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1080,1523x976,Finished phase 1,Demographics FOOD,2,,,,Finished phase 1,,,Include,,response-5-quantised,6
7,1551710593275,04/03/2019 14:43:13,1551710595249,-5,04/03/2019 09:43:15,6235,14,questionnaire-fkld,,2259894,BLIND,616176,Food,complete,,5c7d392e719aaf00019ffdaa,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1080,1523x976,Finished phase 1,Demographics FOOD,2,,,,Finished phase 1,,,Include,,response-5-text,
8,1551710593275,04/03/2019 14:43:13,1551710595249,-5,04/03/2019 09:43:15,6235,14,questionnaire-fkld,,2259894,BLIND,616176,Food,complete,,5c7d392e719aaf00019ffdaa,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1080,1523x976,Finished phase 1,Demographics FOOD,2,,,,Finished phase 1,,,Include,,END QUESTIONNAIRE,10126
1,1551711532802,04/03/2019 14:58:52,1551711531160,0,04/03/2019 14:58:51,6235,14,questionnaire-fkld,,2259974,BLIND,616226,Food,complete,,5c7d3ce41c3cf8001538a369,computer,Desktop or Laptop,Windows 10,Firefox 65.0,1680x1050,1680x914,Finished phase 1,Demographics FOOD,2,,,,Finished phase 1,,,Include,,BEGIN QUESTIONNAIRE,
2,1551711540775,04/03/2019 14:59:00,1551711539225,0,04/03/2019 14:58:59,6235,14,questionnaire-fkld,,2259974,BLIND,616226,Food,complete,,5c7d3ce41c3cf8001538a369,computer,Desktop or Laptop,Windows 10,Firefox 65.0,1680x1050,1680x914,Finished phase 1,Demographics FOOD,2,,,,Finished phase 1,,,Include,,response-3,28
