Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-l5qr,checkpoint-yh8g,checkpoint-32xf,checkpoint-r79k,checkpoint-vhwm,branch-jtmv,branch-dn75,branch-6kna,Question Key,Response
1,1551710524581,04/03/2019 14:42:04,1551710526817,-5,04/03/2019 09:42:06,6235,14,questionnaire-nojz,,2259890,BLIND,616176,Food,complete,,5c7d392e719aaf00019ffdaa,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1080,1523x976,Finished phase 1,Extended consent FOOD,7,,,,Finished phase 1,,,Include,,BEGIN QUESTIONNAIRE,
2,1551710580980,04/03/2019 14:43:00,1551710572603,-5,04/03/2019 09:42:52,6235,14,questionnaire-nojz,,2259890,BLIND,616176,Food,complete,,5c7d392e719aaf00019ffdaa,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1080,1523x976,Finished phase 1,Extended consent FOOD,7,,,,Finished phase 1,,,Include,,response-6,Yes
3,1551710580980,04/03/2019 14:43:00,1551710572604,-5,04/03/2019 09:42:52,6235,14,questionnaire-nojz,,2259890,BLIND,616176,Food,complete,,5c7d392e719aaf00019ffdaa,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1080,1523x976,Finished phase 1,Extended consent FOOD,7,,,,Finished phase 1,,,Include,,response-6-quantised,1
4,1551710580980,04/03/2019 14:43:00,1551710572604,-5,04/03/2019 09:42:52,6235,14,questionnaire-nojz,,2259890,BLIND,616176,Food,complete,,5c7d392e719aaf00019ffdaa,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1080,1523x976,Finished phase 1,Extended consent FOOD,7,,,,Finished phase 1,,,Include,,response-1,Yes
5,1551710580980,04/03/2019 14:43:00,1551710572605,-5,04/03/2019 09:42:52,6235,14,questionnaire-nojz,,2259890,BLIND,616176,Food,complete,,5c7d392e719aaf00019ffdaa,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1080,1523x976,Finished phase 1,Extended consent FOOD,7,,,,Finished phase 1,,,Include,,response-1-quantised,1
6,1551710580980,04/03/2019 14:43:00,1551710572605,-5,04/03/2019 09:42:52,6235,14,questionnaire-nojz,,2259890,BLIND,616176,Food,complete,,5c7d392e719aaf00019ffdaa,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1080,1523x976,Finished phase 1,Extended consent FOOD,7,,,,Finished phase 1,,,Include,,END QUESTIONNAIRE,45788
7,1551710580980,04/03/2019 14:43:00,1551710572605,-5,04/03/2019 09:42:52,6235,14,questionnaire-nojz,,2259890,BLIND,616176,Food,complete,,5c7d392e719aaf00019ffdaa,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1080,1523x976,Finished phase 1,Extended consent FOOD,7,,,,Finished phase 1,,,Include,,response-3-quantised,1
8,1551710580980,04/03/2019 14:43:00,1551710572605,-5,04/03/2019 09:42:52,6235,14,questionnaire-nojz,,2259890,BLIND,616176,Food,complete,,5c7d392e719aaf00019ffdaa,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1080,1523x976,Finished phase 1,Extended consent FOOD,7,,,,Finished phase 1,,,Include,,response-4,Yes
9,1551710580980,04/03/2019 14:43:00,1551710572605,-5,04/03/2019 09:42:52,6235,14,questionnaire-nojz,,2259890,BLIND,616176,Food,complete,,5c7d392e719aaf00019ffdaa,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1080,1523x976,Finished phase 1,Extended consent FOOD,7,,,,Finished phase 1,,,Include,,response-4-quantised,1
10,1551710580980,04/03/2019 14:43:00,1551710572605,-5,04/03/2019 09:42:52,6235,14,questionnaire-nojz,,2259890,BLIND,616176,Food,complete,,5c7d392e719aaf00019ffdaa,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1080,1523x976,Finished phase 1,Extended consent FOOD,7,,,,Finished phase 1,,,Include,,response-5,Yes
11,1551710580980,04/03/2019 14:43:00,1551710572605,-5,04/03/2019 09:42:52,6235,14,questionnaire-nojz,,2259890,BLIND,616176,Food,complete,,5c7d392e719aaf00019ffdaa,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1080,1523x976,Finished phase 1,Extended consent FOOD,7,,,,Finished phase 1,,,Include,,response-5-quantised,1
12,1551710580980,04/03/2019 14:43:00,1551710572605,-5,04/03/2019 09:42:52,6235,14,questionnaire-nojz,,2259890,BLIND,616176,Food,complete,,5c7d392e719aaf00019ffdaa,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1080,1523x976,Finished phase 1,Extended consent FOOD,7,,,,Finished phase 1,,,Include,,response-3,Yes
1,1551711476461,04/03/2019 14:57:56,1551711474885,0,04/03/2019 14:57:54,6235,14,questionnaire-nojz,,2259967,BLIND,616226,Food,complete,,5c7d3ce41c3cf8001538a369,computer,Desktop or Laptop,Windows 10,Firefox 65.0,1680x1050,1680x914,Finished phase 1,Extended consent FOOD,7,,,,Finished phase 1,,,Include,,BEGIN QUESTIONNAIRE,
