Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-l5qr,checkpoint-yh8g,checkpoint-32xf,checkpoint-r79k,checkpoint-vhwm,branch-jtmv,branch-dn75,branch-6kna,Question Key,Response
1,1551711420751,04/03/2019 14:57:00,1551711422996,-5,04/03/2019 09:57:02,6235,14,questionnaire-wbpo,,2259964,BLIND,616176,Food,complete,,5c7d392e719aaf00019ffdaa,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1080,1523x976,Finished phase 1,Food sequence instructions,3,,,,Finished phase 1,,,Include,,BEGIN QUESTIONNAIRE,
2,1551711445082,04/03/2019 14:57:25,1551711447360,-5,04/03/2019 09:57:27,6235,14,questionnaire-wbpo,,2259964,BLIND,616176,Food,complete,,5c7d392e719aaf00019ffdaa,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1080,1523x976,Finished phase 1,Food sequence instructions,3,,,,Finished phase 1,,,Include,,END QUESTIONNAIRE,24364
1,1551712169070,04/03/2019 15:09:29,1551712167448,0,04/03/2019 15:09:27,6235,14,questionnaire-wbpo,,2260049,BLIND,616226,Food,complete,,5c7d3ce41c3cf8001538a369,computer,Desktop or Laptop,Windows 10,Firefox 65.0,1680x1050,1680x914,Finished phase 1,Food sequence instructions,3,,,,Finished phase 1,,,Include,,BEGIN QUESTIONNAIRE,
2,1551712172105,04/03/2019 15:09:32,1551712170512,0,04/03/2019 15:09:30,6235,14,questionnaire-wbpo,,2260049,BLIND,616226,Food,complete,,5c7d3ce41c3cf8001538a369,computer,Desktop or Laptop,Windows 10,Firefox 65.0,1680x1050,1680x914,Finished phase 1,Food sequence instructions,3,,,,Finished phase 1,,,Include,,END QUESTIONNAIRE,3064
1,1551712658290,04/03/2019 15:17:38,1551712658636,0,04/03/2019 15:17:38,6235,14,questionnaire-wbpo,,2260133,BLIND,616259,Food,complete,,5c7d3ee73576f70017c3e0f8,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1366x768,1366x657,Finished phase 1,Food sequence instructions,3,,,,Finished phase 1,,,Include,,BEGIN QUESTIONNAIRE,
2,1551712670413,04/03/2019 15:17:50,1551712670748,0,04/03/2019 15:17:50,6235,14,questionnaire-wbpo,,2260133,BLIND,616259,Food,complete,,5c7d3ee73576f70017c3e0f8,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1366x768,1366x657,Finished phase 1,Food sequence instructions,3,,,,Finished phase 1,,,Include,,END QUESTIONNAIRE,12113
1,1551712688384,04/03/2019 15:18:08,1551712688637,0,04/03/2019 15:18:08,6235,14,questionnaire-wbpo,,2260140,BLIND,616255,Food,complete,,5c7d3ec0e926fc00160b4dae,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1080,1920x1009,Finished phase 1,Food sequence instructions,3,,,,Finished phase 1,,,Include,,BEGIN QUESTIONNAIRE,
2,1551712741864,04/03/2019 15:19:01,1551712742156,0,04/03/2019 15:19:02,6235,14,questionnaire-wbpo,,2260140,BLIND,616255,Food,complete,,5c7d3ec0e926fc00160b4dae,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1080,1920x1009,Finished phase 1,Food sequence instructions,3,,,,Finished phase 1,,,Include,,END QUESTIONNAIRE,53519
1,1551712777200,04/03/2019 15:19:37,1551712778120,0,04/03/2019 15:19:38,6235,14,questionnaire-wbpo,,2260163,BLIND,616269,Food,complete,,5c7d3f91fc6b4f000159dc9a,computer,Desktop or Laptop,Windows 10,Edge 17.17134,1536x864,1536x747,Finished phase 1,Food sequence instructions,3,,,,Finished phase 1,,,Include,,BEGIN QUESTIONNAIRE,
2,1551712805383,04/03/2019 15:20:05,1551712806298,0,04/03/2019 15:20:06,6235,14,questionnaire-wbpo,,2260163,BLIND,616269,Food,complete,,5c7d3f91fc6b4f000159dc9a,computer,Desktop or Laptop,Windows 10,Edge 17.17134,1536x864,1536x747,Finished phase 1,Food sequence instructions,3,,,,Finished phase 1,,,Include,,END QUESTIONNAIRE,28178
