Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-l5qr,checkpoint-yh8g,checkpoint-32xf,checkpoint-r79k,checkpoint-vhwm,branch-jtmv,branch-dn75,branch-6kna,Question Key,Response
1,1551788477619,05/03/2019 12:21:17,1551788477088,-5,05/03/2019 07:21:17,6235,15,questionnaire-9o89,,2266227,BLIND,618220,Holiday destinations,complete,,5c7e69599ab99a00144b7c1e,computer,Desktop or Laptop,Chromium OS 11151.113.0,Chrome 71.0.3578.127,1366x768,1310x697,Finished phase 1,Demographics HOLIDAYS,1,,,,,Finished phase 1,,,Include,BEGIN QUESTIONNAIRE,
2,1551788490067,05/03/2019 12:21:30,1551788489565,-5,05/03/2019 07:21:29,6235,15,questionnaire-9o89,,2266227,BLIND,618220,Holiday destinations,complete,,5c7e69599ab99a00144b7c1e,computer,Desktop or Laptop,Chromium OS 11151.113.0,Chrome 71.0.3578.127,1366x768,1310x697,Finished phase 1,Demographics HOLIDAYS,1,,,,,Finished phase 1,,,Include,response-3,24
3,1551788490288,05/03/2019 12:21:30,1551788489573,-5,05/03/2019 07:21:29,6235,15,questionnaire-9o89,,2266227,BLIND,618220,Holiday destinations,complete,,5c7e69599ab99a00144b7c1e,computer,Desktop or Laptop,Chromium OS 11151.113.0,Chrome 71.0.3578.127,1366x768,1310x697,Finished phase 1,Demographics HOLIDAYS,1,,,,,Finished phase 1,,,Include,response-4,Male
4,1551788490288,05/03/2019 12:21:30,1551788489574,-5,05/03/2019 07:21:29,6235,15,questionnaire-9o89,,2266227,BLIND,618220,Holiday destinations,complete,,5c7e69599ab99a00144b7c1e,computer,Desktop or Laptop,Chromium OS 11151.113.0,Chrome 71.0.3578.127,1366x768,1310x697,Finished phase 1,Demographics HOLIDAYS,1,,,,,Finished phase 1,,,Include,response-4-quantised,1
5,1551788490288,05/03/2019 12:21:30,1551788489574,-5,05/03/2019 07:21:29,6235,15,questionnaire-9o89,,2266227,BLIND,618220,Holiday destinations,complete,,5c7e69599ab99a00144b7c1e,computer,Desktop or Laptop,Chromium OS 11151.113.0,Chrome 71.0.3578.127,1366x768,1310x697,Finished phase 1,Demographics HOLIDAYS,1,,,,,Finished phase 1,,,Include,response-5,United States
6,1551788490288,05/03/2019 12:21:30,1551788489574,-5,05/03/2019 07:21:29,6235,15,questionnaire-9o89,,2266227,BLIND,618220,Holiday destinations,complete,,5c7e69599ab99a00144b7c1e,computer,Desktop or Laptop,Chromium OS 11151.113.0,Chrome 71.0.3578.127,1366x768,1310x697,Finished phase 1,Demographics HOLIDAYS,1,,,,,Finished phase 1,,,Include,response-5-quantised,6
7,1551788490288,05/03/2019 12:21:30,1551788489575,-5,05/03/2019 07:21:29,6235,15,questionnaire-9o89,,2266227,BLIND,618220,Holiday destinations,complete,,5c7e69599ab99a00144b7c1e,computer,Desktop or Laptop,Chromium OS 11151.113.0,Chrome 71.0.3578.127,1366x768,1310x697,Finished phase 1,Demographics HOLIDAYS,1,,,,,Finished phase 1,,,Include,response-5-text,
8,1551788490288,05/03/2019 12:21:30,1551788489575,-5,05/03/2019 07:21:29,6235,15,questionnaire-9o89,,2266227,BLIND,618220,Holiday destinations,complete,,5c7e69599ab99a00144b7c1e,computer,Desktop or Laptop,Chromium OS 11151.113.0,Chrome 71.0.3578.127,1366x768,1310x697,Finished phase 1,Demographics HOLIDAYS,1,,,,,Finished phase 1,,,Include,END QUESTIONNAIRE,12488
1,1551788834505,05/03/2019 12:27:14,1551788834302,0,05/03/2019 12:27:14,6235,15,questionnaire-9o89,,2266283,BLIND,618230,Holiday destinations,complete,,5c7e6af14209d4001777f642,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 58.0.3029.110,1440x900,1141x764,Finished phase 1,Demographics HOLIDAYS,1,,,,,Finished phase 1,,,Include,BEGIN QUESTIONNAIRE,
2,1551788840318,05/03/2019 12:27:20,1551788839993,0,05/03/2019 12:27:19,6235,15,questionnaire-9o89,,2266283,BLIND,618230,Holiday destinations,complete,,5c7e6af14209d4001777f642,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 58.0.3029.110,1440x900,1141x764,Finished phase 1,Demographics HOLIDAYS,1,,,,,Finished phase 1,,,Include,response-3,33
3,1551788840380,05/03/2019 12:27:20,1551788839995,0,05/03/2019 12:27:19,6235,15,questionnaire-9o89,,2266283,BLIND,618230,Holiday destinations,complete,,5c7e6af14209d4001777f642,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 58.0.3029.110,1440x900,1141x764,Finished phase 1,Demographics HOLIDAYS,1,,,,,Finished phase 1,,,Include,response-4,Female
4,1551788840380,05/03/2019 12:27:20,1551788839995,0,05/03/2019 12:27:19,6235,15,questionnaire-9o89,,2266283,BLIND,618230,Holiday destinations,complete,,5c7e6af14209d4001777f642,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 58.0.3029.110,1440x900,1141x764,Finished phase 1,Demographics HOLIDAYS,1,,,,,Finished phase 1,,,Include,response-4-quantised,2
5,1551788840380,05/03/2019 12:27:20,1551788839995,0,05/03/2019 12:27:19,6235,15,questionnaire-9o89,,2266283,BLIND,618230,Holiday destinations,complete,,5c7e6af14209d4001777f642,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 58.0.3029.110,1440x900,1141x764,Finished phase 1,Demographics HOLIDAYS,1,,,,,Finished phase 1,,,Include,response-5,United Kingdom
