Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-l5qr,checkpoint-yh8g,checkpoint-32xf,checkpoint-r79k,checkpoint-vhwm,branch-jtmv,branch-dn75,branch-6kna,Question Key,Response
1,1551789319747,05/03/2019 12:35:19,1551789319236,-5,05/03/2019 07:35:19,6235,15,questionnaire-hbms,,2266335,BLIND,618220,Holiday destinations,complete,,5c7e69599ab99a00144b7c1e,computer,Desktop or Laptop,Chromium OS 11151.113.0,Chrome 71.0.3578.127,1366x768,1310x697,Finished phase 1,Holiday destinations sequence instructions,2,,,,,Finished phase 1,,,Include,BEGIN QUESTIONNAIRE,
2,1551789348940,05/03/2019 12:35:48,1551789348454,-5,05/03/2019 07:35:48,6235,15,questionnaire-hbms,,2266335,BLIND,618220,Holiday destinations,complete,,5c7e69599ab99a00144b7c1e,computer,Desktop or Laptop,Chromium OS 11151.113.0,Chrome 71.0.3578.127,1366x768,1310x697,Finished phase 1,Holiday destinations sequence instructions,2,,,,,Finished phase 1,,,Include,END QUESTIONNAIRE,29219
1,1551789868416,05/03/2019 12:44:28,1551789868175,0,05/03/2019 12:44:28,6235,15,questionnaire-hbms,,2266402,BLIND,618230,Holiday destinations,complete,,5c7e6af14209d4001777f642,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 58.0.3029.110,1440x900,1141x764,Finished phase 1,Holiday destinations sequence instructions,2,,,,,Finished phase 1,,,Include,BEGIN QUESTIONNAIRE,
2,1551789909128,05/03/2019 12:45:09,1551789908923,0,05/03/2019 12:45:08,6235,15,questionnaire-hbms,,2266402,BLIND,618230,Holiday destinations,complete,,5c7e6af14209d4001777f642,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 58.0.3029.110,1440x900,1141x764,Finished phase 1,Holiday destinations sequence instructions,2,,,,,Finished phase 1,,,Include,END QUESTIONNAIRE,40748
1,1551790134786,05/03/2019 12:48:54,1551790134682,0,05/03/2019 12:48:54,6235,15,questionnaire-hbms,,2266451,BLIND,618251,Holiday destinations,complete,,5c7e6de44209d4000177f654,computer,Desktop or Laptop,Mac OS 10.14.0,Chrome 72.0.3626.109,1280x800,1278x648,Finished phase 1,Holiday destinations sequence instructions,2,,,,,Finished phase 1,,,Include,BEGIN QUESTIONNAIRE,
2,1551790138841,05/03/2019 12:48:58,1551790138738,0,05/03/2019 12:48:58,6235,15,questionnaire-hbms,,2266451,BLIND,618251,Holiday destinations,complete,,5c7e6de44209d4000177f654,computer,Desktop or Laptop,Mac OS 10.14.0,Chrome 72.0.3626.109,1280x800,1278x648,Finished phase 1,Holiday destinations sequence instructions,2,,,,,Finished phase 1,,,Include,END QUESTIONNAIRE,4056
1,1551790498689,05/03/2019 12:54:58,1551790499638,0,05/03/2019 12:54:59,6235,15,questionnaire-hbms,,2266514,BLIND,618263,Holiday destinations,complete,,5c7e6e525271410011421e95,computer,Desktop or Laptop,Windows 10,Firefox 65.0,1280x800,1280x668,Finished phase 1,Holiday destinations sequence instructions,2,,,,,Finished phase 1,,,Include,BEGIN QUESTIONNAIRE,
2,1551790506913,05/03/2019 12:55:06,1551790507853,0,05/03/2019 12:55:07,6235,15,questionnaire-hbms,,2266514,BLIND,618263,Holiday destinations,complete,,5c7e6e525271410011421e95,computer,Desktop or Laptop,Windows 10,Firefox 65.0,1280x800,1280x668,Finished phase 1,Holiday destinations sequence instructions,2,,,,,Finished phase 1,,,Include,END QUESTIONNAIRE,8216
1,1551790511114,05/03/2019 12:55:11,1551790512332,0,05/03/2019 12:55:12,6235,15,questionnaire-hbms,,2266518,BLIND,618270,Holiday destinations,complete,,5c7e6f6d43fe570001f55e7b,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1280x1024,1280x953,Finished phase 1,Holiday destinations sequence instructions,2,,,,,Finished phase 1,,,Include,BEGIN QUESTIONNAIRE,
2,1551790529217,05/03/2019 12:55:29,1551790530505,0,05/03/2019 12:55:30,6235,15,questionnaire-hbms,,2266518,BLIND,618270,Holiday destinations,complete,,5c7e6f6d43fe570001f55e7b,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1280x1024,1280x953,Finished phase 1,Holiday destinations sequence instructions,2,,,,,Finished phase 1,,,Include,END QUESTIONNAIRE,18173
