Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-l5qr,checkpoint-yh8g,checkpoint-32xf,checkpoint-r79k,checkpoint-vhwm,branch-jtmv,branch-dn75,branch-6kna,Question Key,Response
1,1551788401365,05/03/2019 12:20:01,1551788400829,-5,05/03/2019 07:20:00,6235,15,questionnaire-q8wg,,2266211,BLIND,618220,Holiday destinations,complete,,5c7e69599ab99a00144b7c1e,computer,Desktop or Laptop,Chromium OS 11151.113.0,Chrome 71.0.3578.127,1366x768,1310x697,Finished phase 1,Extended consent HOLIDAYS,7,,,,,Finished phase 1,,,Include,BEGIN QUESTIONNAIRE,
2,1551788472731,05/03/2019 12:21:12,1551788472246,-5,05/03/2019 07:21:12,6235,15,questionnaire-q8wg,,2266211,BLIND,618220,Holiday destinations,complete,,5c7e69599ab99a00144b7c1e,computer,Desktop or Laptop,Chromium OS 11151.113.0,Chrome 71.0.3578.127,1366x768,1310x697,Finished phase 1,Extended consent HOLIDAYS,7,,,,,Finished phase 1,,,Include,response-6,Yes
3,1551788472900,05/03/2019 12:21:12,1551788472250,-5,05/03/2019 07:21:12,6235,15,questionnaire-q8wg,,2266211,BLIND,618220,Holiday destinations,complete,,5c7e69599ab99a00144b7c1e,computer,Desktop or Laptop,Chromium OS 11151.113.0,Chrome 71.0.3578.127,1366x768,1310x697,Finished phase 1,Extended consent HOLIDAYS,7,,,,,Finished phase 1,,,Include,response-6-quantised,1
4,1551788472900,05/03/2019 12:21:12,1551788472251,-5,05/03/2019 07:21:12,6235,15,questionnaire-q8wg,,2266211,BLIND,618220,Holiday destinations,complete,,5c7e69599ab99a00144b7c1e,computer,Desktop or Laptop,Chromium OS 11151.113.0,Chrome 71.0.3578.127,1366x768,1310x697,Finished phase 1,Extended consent HOLIDAYS,7,,,,,Finished phase 1,,,Include,response-1,Yes
5,1551788472900,05/03/2019 12:21:12,1551788472252,-5,05/03/2019 07:21:12,6235,15,questionnaire-q8wg,,2266211,BLIND,618220,Holiday destinations,complete,,5c7e69599ab99a00144b7c1e,computer,Desktop or Laptop,Chromium OS 11151.113.0,Chrome 71.0.3578.127,1366x768,1310x697,Finished phase 1,Extended consent HOLIDAYS,7,,,,,Finished phase 1,,,Include,response-1-quantised,1
6,1551788472900,05/03/2019 12:21:12,1551788472252,-5,05/03/2019 07:21:12,6235,15,questionnaire-q8wg,,2266211,BLIND,618220,Holiday destinations,complete,,5c7e69599ab99a00144b7c1e,computer,Desktop or Laptop,Chromium OS 11151.113.0,Chrome 71.0.3578.127,1366x768,1310x697,Finished phase 1,Extended consent HOLIDAYS,7,,,,,Finished phase 1,,,Include,response-3,Yes
7,1551788472900,05/03/2019 12:21:12,1551788472252,-5,05/03/2019 07:21:12,6235,15,questionnaire-q8wg,,2266211,BLIND,618220,Holiday destinations,complete,,5c7e69599ab99a00144b7c1e,computer,Desktop or Laptop,Chromium OS 11151.113.0,Chrome 71.0.3578.127,1366x768,1310x697,Finished phase 1,Extended consent HOLIDAYS,7,,,,,Finished phase 1,,,Include,response-3-quantised,1
8,1551788472900,05/03/2019 12:21:12,1551788472253,-5,05/03/2019 07:21:12,6235,15,questionnaire-q8wg,,2266211,BLIND,618220,Holiday destinations,complete,,5c7e69599ab99a00144b7c1e,computer,Desktop or Laptop,Chromium OS 11151.113.0,Chrome 71.0.3578.127,1366x768,1310x697,Finished phase 1,Extended consent HOLIDAYS,7,,,,,Finished phase 1,,,Include,response-4,Yes
9,1551788472900,05/03/2019 12:21:12,1551788472253,-5,05/03/2019 07:21:12,6235,15,questionnaire-q8wg,,2266211,BLIND,618220,Holiday destinations,complete,,5c7e69599ab99a00144b7c1e,computer,Desktop or Laptop,Chromium OS 11151.113.0,Chrome 71.0.3578.127,1366x768,1310x697,Finished phase 1,Extended consent HOLIDAYS,7,,,,,Finished phase 1,,,Include,response-4-quantised,1
10,1551788472900,05/03/2019 12:21:12,1551788472253,-5,05/03/2019 07:21:12,6235,15,questionnaire-q8wg,,2266211,BLIND,618220,Holiday destinations,complete,,5c7e69599ab99a00144b7c1e,computer,Desktop or Laptop,Chromium OS 11151.113.0,Chrome 71.0.3578.127,1366x768,1310x697,Finished phase 1,Extended consent HOLIDAYS,7,,,,,Finished phase 1,,,Include,response-5,Yes
11,1551788472900,05/03/2019 12:21:12,1551788472253,-5,05/03/2019 07:21:12,6235,15,questionnaire-q8wg,,2266211,BLIND,618220,Holiday destinations,complete,,5c7e69599ab99a00144b7c1e,computer,Desktop or Laptop,Chromium OS 11151.113.0,Chrome 71.0.3578.127,1366x768,1310x697,Finished phase 1,Extended consent HOLIDAYS,7,,,,,Finished phase 1,,,Include,response-5-quantised,1
12,1551788472900,05/03/2019 12:21:12,1551788472253,-5,05/03/2019 07:21:12,6235,15,questionnaire-q8wg,,2266211,BLIND,618220,Holiday destinations,complete,,5c7e69599ab99a00144b7c1e,computer,Desktop or Laptop,Chromium OS 11151.113.0,Chrome 71.0.3578.127,1366x768,1310x697,Finished phase 1,Extended consent HOLIDAYS,7,,,,,Finished phase 1,,,Include,END QUESTIONNAIRE,71425
1,1551788796392,05/03/2019 12:26:36,1551788796183,0,05/03/2019 12:26:36,6235,15,questionnaire-q8wg,,2266271,BLIND,618230,Holiday destinations,complete,,5c7e6af14209d4001777f642,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 58.0.3029.110,1440x900,1141x764,Finished phase 1,Extended consent HOLIDAYS,7,,,,,Finished phase 1,,,Include,BEGIN QUESTIONNAIRE,
2,1551788832076,05/03/2019 12:27:12,1551788831777,0,05/03/2019 12:27:11,6235,15,questionnaire-q8wg,,2266271,BLIND,618230,Holiday destinations,complete,,5c7e6af14209d4001777f642,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 58.0.3029.110,1440x900,1141x764,Finished phase 1,Extended consent HOLIDAYS,7,,,,,Finished phase 1,,,Include,response-6,Yes
3,1551788832389,05/03/2019 12:27:12,1551788831782,0,05/03/2019 12:27:11,6235,15,questionnaire-q8wg,,2266271,BLIND,618230,Holiday destinations,complete,,5c7e6af14209d4001777f642,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 58.0.3029.110,1440x900,1141x764,Finished phase 1,Extended consent HOLIDAYS,7,,,,,Finished phase 1,,,Include,response-6-quantised,1
4,1551788832389,05/03/2019 12:27:12,1551788831783,0,05/03/2019 12:27:11,6235,15,questionnaire-q8wg,,2266271,BLIND,618230,Holiday destinations,complete,,5c7e6af14209d4001777f642,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 58.0.3029.110,1440x900,1141x764,Finished phase 1,Extended consent HOLIDAYS,7,,,,,Finished phase 1,,,Include,response-1,Yes
5,1551788832389,05/03/2019 12:27:12,1551788831783,0,05/03/2019 12:27:11,6235,15,questionnaire-q8wg,,2266271,BLIND,618230,Holiday destinations,complete,,5c7e6af14209d4001777f642,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 58.0.3029.110,1440x900,1141x764,Finished phase 1,Extended consent HOLIDAYS,7,,,,,Finished phase 1,,,Include,response-1-quantised,1
6,1551788832389,05/03/2019 12:27:12,1551788831783,0,05/03/2019 12:27:11,6235,15,questionnaire-q8wg,,2266271,BLIND,618230,Holiday destinations,complete,,5c7e6af14209d4001777f642,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 58.0.3029.110,1440x900,1141x764,Finished phase 1,Extended consent HOLIDAYS,7,,,,,Finished phase 1,,,Include,response-3,Yes
7,1551788832389,05/03/2019 12:27:12,1551788831783,0,05/03/2019 12:27:11,6235,15,questionnaire-q8wg,,2266271,BLIND,618230,Holiday destinations,complete,,5c7e6af14209d4001777f642,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 58.0.3029.110,1440x900,1141x764,Finished phase 1,Extended consent HOLIDAYS,7,,,,,Finished phase 1,,,Include,response-3-quantised,1
