analysis_set,description,N_subject_rows,model_idx,model,k,sumNLL,sumAIC,sumBIC,dAIC,dBIC,group_wAIC,group_wBIC,n_bestAIC,n_bestBIC,summed_subject_BIC_weight,exp_r,xp,pxp,BOR,median_runnerup_delta_BIC,pct_runnerup_delta_BIC_gt2,pct_runnerup_delta_BIC_gt6,pct_runnerup_delta_BIC_gt10,mean_max_subject_BIC_weight
face_1,Facial attractiveness dataset 1,20,1,Cost to sample,2,782.776494874732,1645.55298974946,1769.30025020696,144.825885372405,144.825885372405,3.56007029197977e-32,3.56007029197856e-32,0,0,1.71192385507945,0.0478118964254318,1e-06,1.51031411624166e-06,1.5309469415658e-06,5.88754434929324,90,45,25,0.901398082509799
face_1,Facial attractiveness dataset 1,20,2,Cut off,2,1024.31899907326,2128.63799814652,2252.38525860401,627.910893769457,627.910893769457,4.47591524776947e-137,4.47591524776947e-137,1,1,0.585718595924054,0.0467501304404044,0,5.103156471886e-07,1.5309469415658e-06,5.88754434929324,90,45,25,0.901398082509799
face_1,Facial attractiveness dataset 1,20,3,Biased prior,2,710.36355218853,1500.72710437706,1624.47436483455,0,0,1,1,19,19,17.7023575489965,0.905437973134164,0.999999,0.999997979370237,1.5309469415658e-06,5.88754434929324,90,45,25,0.901398082509799
face_2,Facial attractiveness dataset 2,75,1,Cost to sample,2,617.502790251737,1535.00558050347,1750.12280521148,131.160047549437,131.160047549437,3.30337251914288e-29,3.30337251914251e-29,14,14,20.9314864476187,0.0387630427509743,0,1.08459144630609e-11,3.25377433891826e-11,2.19484633151841,53.3333333333333,1.33333333333333,0,0.680666682379546
face_2,Facial attractiveness dataset 2,75,2,Cut off,2,744.773693302395,1789.54738660479,2004.6646113128,385.701853650752,385.701853650752,1.7615973560826e-84,1.7615973560824e-84,9,9,10.6366190915918,0.023829986971637,0,1.08459144630609e-11,3.25377433891826e-11,2.19484633151841,53.3333333333333,1.33333333333333,0,0.680666682379546
face_2,Facial attractiveness dataset 2,75,3,Biased prior,2,551.922766477019,1403.84553295404,1618.96275766205,0,0,1,1,52,52,43.4318944607895,0.937406970277389,1,0.999999999978308,3.25377433891826e-11,2.19484633151841,53.3333333333333,1.33333333333333,0,0.680666682379546
face_3,Facial attractiveness dataset 3,32,1,Cost to sample,2,212.741345526748,553.482691053495,633.733537627814,35.2026642326664,35.2026642326666,2.26902132672903e-08,2.26902132672878e-08,8,8,9.53278134100996,0.113662040663146,2e-06,0.00879846639771991,0.0263895575305049,1.1894715421246,40.625,3.125,0,0.615708765754141
face_3,Facial attractiveness dataset 3,32,2,Cut off,2,279.753062892635,687.50612578527,767.756972359589,169.226098964442,169.226098964442,1.79068626718858e-37,1.79068626718827e-37,5,5,6.13677032653297,0.0965354189623887,2e-06,0.00879846639771991,0.0263895575305049,1.1894715421246,40.625,3.125,0,0.615708765754141
face_3,Facial attractiveness dataset 3,32,3,Biased prior,2,195.140013410414,518.280026820829,598.530873395147,0,0,0.999999977309787,0.999999977309787,19,19,16.3304483324571,0.789802540374465,0.999996,0.98240306720456,0.0263895575305049,1.1894715421246,40.625,3.125,0,0.615708765754141
matchmaker,Matchmaker dataset,20,1,Cost to sample,2,934.348550723481,1948.69710144696,2068.22938837997,68.8422391616878,68.8422391616871,1.12485800967304e-15,1.12485800967342e-15,7,7,6.89793455145329,0.299646252877145,0.05312,0.0688969604116499,0.0563033893639963,5.5066843715062,90,40,20,0.887628145840377
matchmaker,Matchmaker dataset,20,2,Cut off,2,1116.25018534234,2312.50037068468,2432.03265761768,432.645508399404,432.645508399403,1.12777260533454e-94,1.12777260533544e-94,1,1,1.17764173810051,0.0886727404173258,0.000342,0.0190905406955029,0.0563033893639963,5.5066843715062,90,40,20,0.887628145840377
matchmaker,Matchmaker dataset,20,3,Biased prior,2,899.927431142637,1879.85486228527,1999.38714921828,0,0,0.999999999999999,0.999999999999999,12,12,11.9244237104462,0.611681006705529,0.946538,0.912012498892847,0.0563033893639963,5.5066843715062,90,40,20,0.887628145840377
trust_1,Trustworthiness dataset 1,18,1,Cost to sample,2,790.148581321857,1652.29716264371,1761.97112695643,84.3373826820268,84.3373826820271,4.85702167445869e-19,4.85702167445813e-19,5,5,4.4702727874129,0.16354663972958,0.001445,0.00556506691931686,0.012414015515209,5.47475394209147,83.3333333333333,38.8888888888889,11.1111111111111,0.875978441230585
trust_1,Trustworthiness dataset 1,18,2,Cut off,2,955.693691223324,1983.38738244665,2093.06134675936,415.427602484961,415.427602484962,6.18076604925283e-91,6.18076604925213e-91,1,1,1.11639245607801,0.0919331035346221,0.000152,0.00428811824137803,0.012414015515209,5.47475394209147,83.3333333333333,38.8888888888889,11.1111111111111,0.875978441230585
trust_1,Trustworthiness dataset 1,18,3,Biased prior,2,747.979889980844,1567.95977996169,1677.6337442744,0,0,1,1,12,12,12.4133347565091,0.744520256735798,0.998403,0.990146814839305,0.012414015515209,5.47475394209147,83.3333333333333,38.8888888888889,11.1111111111111,0.875978441230585
trust_2,Trustworthiness dataset 2,64,1,Cost to sample,2,3903.29542422516,8062.59084845032,8445.48230386925,64.6531932407606,64.6531932407615,9.13560827148864e-15,9.13560827148448e-15,20,20,24.4597671860841,0.351222621998194,0.032468,0.0326236527163592,0.000517350120184086,4.28920277996519,70.3125,37.5,15.625,0.817323530082435
trust_2,Trustworthiness dataset 2,64,2,Cut off,2,4544.2637505171,9344.5275010342,9727.41895645313,1346.58984582464,1346.58984582464,3.90598243272418e-293,3.90598243272418e-293,7,7,7.24716841146366,0.0842357336490487,0,0.000172450040061362,0.000517350120184086,4.28920277996519,70.3125,37.5,15.625,0.817323530082435
trust_2,Trustworthiness dataset 2,64,3,Biased prior,2,3870.96882760478,7997.93765520956,8380.82911062849,0,0,0.999999999999991,0.999999999999991,37,37,32.2930644024522,0.564541644352757,0.967532,0.967203897243579,0.000517350120184086,4.28920277996519,70.3125,37.5,15.625,0.817323530082435
foods_1,Foods dataset 1,76,1,Cost to sample,2,598.656305413627,1501.31261082725,1692.26249605888,36.6910207351816,36.6910207351821,1.0780678008875e-08,1.07806780088725e-08,28,28,31.0187270716789,0.284378085018745,7.7e-05,7.70025502460415e-05,7.65250585325731e-09,1.57072359407804,38.1578947368421,6.57894736842105,0,0.669200518237453
foods_1,Foods dataset 1,76,2,Cut off,2,819.16396328837,1942.32792657674,2133.27781180837,477.706336484669,477.706336484669,1.85091741887438e-104,1.85091741887416e-104,5,5,6.28208452946054,0.0164226492892019,0,2.5508352844191e-09,7.65250585325731e-09,1.57072359407804,38.1578947368421,6.57894736842105,0,0.669200518237453
foods_1,Foods dataset 1,76,3,Biased prior,2,580.310795046036,1464.62159009207,1655.5714753237,0,0,0.999999989219322,0.999999989219322,43,43,38.6991883988605,0.699199265692053,0.999923,0.999922994898919,7.65250585325731e-09,1.57072359407804,38.1578947368421,6.57894736842105,0,0.669200518237453
foods_2,Foods dataset 2,28,1,Cost to sample,2,176.452580849948,464.905161699897,512.991359433417,9.25389903283917,9.25389903283906,0.00968975130193475,0.00968975130193529,11,11,11.5476421568659,0.159425801080881,4.6e-05,0.00268127212717751,0.00790690753477232,0.312200955205611,7.14285714285714,0,0,0.524714097238413
