analysis_set,dataset,dataset_short,subject_index,n_obs,best_AIC,best_BIC,runnerup_delta_BIC,max_BIC_weight,NLL_CostToSample,AIC_CostToSample,BIC_CostToSample,BIC_weight_CostToSample,NLL_CutOff,AIC_CutOff,BIC_CutOff,BIC_weight_CutOff,NLL_BiasedPrior,AIC_BiasedPrior,BIC_BiasedPrior,BIC_weight_BiasedPrior
trust_2,Trustworthiness dataset 2,trust_2,1,111,Cut off,Cut off,1.46501650386855,0.518552966270138,72.7625266723001,149.5250533446,154.944113747225,0.232177712477029,71.9589875774568,147.917975154914,153.337035557538,0.518552966270138,72.6914958293911,149.382991658782,154.802052061407,0.249269321252832
trust_2,Trustworthiness dataset 2,trust_2,2,101,Biased prior,Biased prior,0.759639426826851,0.575133440485326,64.8406357549558,133.681271509912,138.911512543594,0.393382480287314,67.3659361291153,138.731872258231,143.962113291913,0.0314840792273606,64.4608160415424,132.921632083085,138.151873116767,0.575133440485326
trust_2,Trustworthiness dataset 2,trust_2,3,247,Biased prior,Biased prior,12.7509476108357,0.998300067394854,62.519343024824,129.038686049648,136.057462722904,0.00169991813570357,74.1933946772328,152.386789354466,159.405566027722,1.44694423274866e-08,56.1438692194062,116.287738438812,123.306515112068,0.998300067394854
trust_2,Trustworthiness dataset 2,trust_2,4,218,Biased prior,Biased prior,9.9169061188546,0.993004454718605,73.8598071248772,151.719614249754,158.488604375332,0.00697464960587876,79.6703022701288,163.340604540258,170.109594665836,2.08956755161786e-05,68.9013540654499,141.8027081309,148.571698256478,0.993004454718605
trust_2,Trustworthiness dataset 2,trust_2,5,199,Biased prior,Biased prior,1.85674373409464,0.716744855467786,77.0753229455713,158.150645891143,164.737255540591,0.283255143923314,97.0332832880727,198.066566576145,204.653176225594,6.08899697948172e-10,76.1469510785239,156.293902157048,162.880511806497,0.716744855467786
trust_2,Trustworthiness dataset 2,trust_2,6,257,Cut off,Cut off,34.3505247926016,0.999999949386704,69.4180371268851,142.83607425377,149.934226423561,1.58694179695338e-08,51.4591651995302,106.91833039906,114.016482568851,0.999999949386704,68.634427595831,141.268855191662,148.367007361452,3.47438782155366e-08
trust_2,Trustworthiness dataset 2,trust_2,7,157,Cost to sample,Cost to sample,12.5148470339834,0.997988213199438,78.2758301210669,160.551660242134,166.66415185283,0.997988213199438,84.5332536380586,173.066507276117,179.178998886814,0.00191232149961601,87.489518016736,178.979036033472,185.091527644169,9.94653009461756e-05
trust_2,Trustworthiness dataset 2,trust_2,8,203,Cost to sample,Cost to sample,6.16886968485372,0.955906715553888,71.6895285429739,147.379057085948,154.005469044031,0.955906715553888,79.5880352366512,163.176070473302,169.802482431386,0.000354925857561255,74.7739633854007,153.547926770801,160.174338728885,0.0437383585885511
trust_2,Trustworthiness dataset 2,trust_2,9,244,Biased prior,Biased prior,2.46186768346962,0.773981974570952,60.1750125578633,124.350025115727,131.344361566313,0.226018022782006,78.437694845671,160.875389691342,167.869726141928,2.64704259011546e-09,58.9440787161285,121.888157432257,128.882493882843,0.773981974570952
trust_2,Trustworthiness dataset 2,trust_2,10,272,Cost to sample,Cost to sample,9.17517901557889,0.985571805959513,60.8564202788084,125.712840557617,132.924444690209,0.985571805959513,66.2685665676719,136.537133135344,143.748737267936,0.00439767370428746,65.4440097865978,134.888019573196,142.099623705788,0.0100305203361998
trust_2,Trustworthiness dataset 2,trust_2,11,205,Biased prior,Biased prior,6.52593015042766,0.963136209942124,60.3665457873875,124.733091574775,131.379111533052,0.0368637900547589,83.5602835270512,171.120567054102,177.766587012379,3.11664738259547e-12,57.1035807121737,118.207161424347,124.853181382624,0.963136209942124
trust_2,Trustworthiness dataset 2,trust_2,12,47,Biased prior,Biased prior,0.0577530517937603,0.50721804613617,19.610608252077,43.2212165041541,46.9215117075742,0.492780803002665,32.5779174863174,69.1558349726348,72.8561301760549,1.15086116498961e-06,19.5817317261801,43.1634634523603,46.8637586557804,0.50721804613617
trust_2,Trustworthiness dataset 2,trust_2,13,227,Cost to sample,Cost to sample,6.72790901295363,0.961550387030016,77.5891772498042,159.178354499608,166.028254534571,0.961550387030016,82.8125852765541,169.625170553108,176.475070588071,0.00518172981431637,80.953131756281,165.906263512562,172.756163547525,0.0332678831556671
trust_2,Trustworthiness dataset 2,trust_2,14,253,Cut off,Cut off,3.82398965502509,0.860751345207728,69.3700538777106,142.740107755421,149.806886732876,0.127206383899648,67.4580590501981,138.916118100396,145.982897077851,0.860751345207728,71.7274416808078,147.454883361616,154.521662339071,0.0120422708926239
trust_2,Trustworthiness dataset 2,trust_2,15,40,Cost to sample,Cost to sample,11.3308525403087,0.996548284607176,0,4,7.37775890822787,0.996548284607176,27.7258872223978,59.4517744447956,62.8295333530234,9.06355384911152e-13,5.66542627015437,15.3308525403087,18.7086114485366,0.00345171539191784
trust_2,Trustworthiness dataset 2,trust_2,16,225,Biased prior,Biased prior,18.087476952333,0.999881885525876,71.4852297717866,146.970459543573,153.802660347982,0.000118114437089095,86.4605382172054,176.921076434411,183.75327723882,3.70347282169756e-11,62.4414912956201,128.88298259124,135.715183395649,0.999881885525876
trust_2,Trustworthiness dataset 2,trust_2,17,214,Biased prior,Biased prior,4.32175711853571,0.896680970321349,71.3637006177257,146.727401235451,153.459353265495,0.103319029657862,93.6903762174888,191.380752434978,198.112704465021,2.0788746647712e-11,69.2028220584579,142.405644116916,149.137596146959,0.896680970321349
