analysis_set,dataset,dataset_short,subject_index,n_obs,best_AIC,best_BIC,runnerup_delta_BIC,max_BIC_weight,NLL_CostToSample,AIC_CostToSample,BIC_CostToSample,BIC_weight_CostToSample,NLL_CutOff,AIC_CutOff,BIC_CutOff,BIC_weight_CutOff,NLL_BiasedPrior,AIC_BiasedPrior,BIC_BiasedPrior,BIC_weight_BiasedPrior
vacations_2,Vacations dataset 2,vacations_2,1,23,Biased prior,Biased prior,2.63716795167686,0.682259120150486,9.20575442497598,22.411508849952,24.6824972818102,0.13522712277438,8.90588462928629,21.8117692585726,24.0827576904309,0.182513757075135,7.58730065344786,19.1746013068957,21.445589738754,0.682259120150486
vacations_2,Vacations dataset 2,vacations_2,2,5,Cost to sample,Cost to sample,0.0524849890098134,0.498666354894926,0,4,3.2188758248682,0.498666354894926,3.46573590279973,10.9314718055995,10.1503476304677,0.0155833235904664,0.0262424945049067,4.05248498900981,3.27136081387801,0.485750321514608
vacations_2,Vacations dataset 2,vacations_2,3,30,Cut off,Cut off,4.24733879024783,0.887034611762977,9.47157019896297,22.9431403979259,25.7455351612503,0.106082236310915,7.34790080383906,18.6958016076781,21.4981963710024,0.887034611762977,12.2067081307095,28.4134162614189,31.2158110247432,0.0068831519261087
vacations_2,Vacations dataset 2,vacations_2,4,39,Cut off,Cut off,0.00504674468642818,0.49963988594697,0.00252337234321417,4.00504674468643,7.33217003694572,0.498380697845566,0,4,7.32712329225929,0.49963988594697,5.53108565431135,15.0621713086227,18.389294600882,0.00197941620746375
vacations_2,Vacations dataset 2,vacations_2,5,27,Cut off,Cut off,1.77000722983986,0.579359067038293,10.3034702026818,24.6069404053636,27.1986141373722,0.239108834023579,9.41846658776186,22.8369331755237,25.4286069075324,0.579359067038293,10.5789565317246,25.1579130634491,27.7495867954578,0.181532098938127
vacations_2,Vacations dataset 2,vacations_2,6,23,Cut off,Cut off,5.95895740612212,0.920230568944781,9.77458011611973,23.5491602322395,25.8201486640978,0.0467654907598257,6.79510141305867,17.5902028261173,19.8611912579756,0.920230568944781,10.1230987128912,24.2461974257824,26.5171858576407,0.0330039402953939
vacations_2,Vacations dataset 2,vacations_2,7,32,Biased prior,Biased prior,4.35767852328794,0.887656576107987,5.3468499844973,14.6936999689946,17.6251717745941,0.100458596544073,7.4813330786067,18.9626661572134,21.8941379628128,0.0118848273479405,3.16801072285333,10.3360214457067,13.2674932513061,0.887656576107987
vacations_2,Vacations dataset 2,vacations_2,8,29,Cost to sample,Cost to sample,2.30545541092457,0.72942690078578,6.74780633826757,17.4956126765351,20.2302043365081,0.72942690078578,9.64523221504488,23.2904644300898,26.0250560900627,0.0402388634706531,7.90053404372985,19.8010680874597,22.5356597474326,0.230334235743567
vacations_2,Vacations dataset 2,vacations_2,9,20,Biased prior,Biased prior,0.354498281873568,0.533622721024387,8.11109755761931,20.2221951152386,22.2136596623466,0.446946961579263,11.2467028923762,26.4934057847523,28.4848703318603,0.0194303173963504,7.93384841668253,19.8676968333651,21.859161380473,0.533622721024387
vacations_2,Vacations dataset 2,vacations_2,10,20,Biased prior,Biased prior,0.860316120847486,0.531840687928308,8.96790439153608,21.9358087830722,23.9272733301801,0.345912525039773,10.0080484707638,24.0160969415275,26.0075614886355,0.122246787031919,8.53774633111234,21.0754926622247,23.0669572093327,0.531840687928308
vacations_2,Vacations dataset 2,vacations_2,11,36,Cut off,Cut off,1.58387914486665,0.681070255302597,5.3614392047238,14.7228784094476,17.8899162863598,0.308501249414566,4.56949963229048,13.138999264581,16.3060371414932,0.681070255302597,8.74862310760658,21.4972462152132,24.6642840921254,0.0104284952828369
vacations_2,Vacations dataset 2,vacations_2,12,24,Biased prior,Biased prior,1.09365610956295,0.632951215008964,2.79294062725237,9.58588125450475,11.9419889152006,0.366341256901696,9.04248387015448,22.084967740309,24.4410754010048,0.000707528089339992,2.2461125724709,8.49222514494179,10.8483328056377,0.632951215008964
vacations_2,Vacations dataset 2,vacations_2,13,24,Biased prior,Biased prior,1.1542385237009,0.52123549459744,9.49537008884721,22.9907401776944,25.3468478383903,0.18608367982455,9.04248387015448,22.084967740309,24.4410754010048,0.292680825578009,8.46536460830403,20.9307292166081,23.2868368773039,0.52123549459744
vacations_2,Vacations dataset 2,vacations_2,14,26,Cost to sample,Cost to sample,0.550011861270786,0.522660769451375,9.28977134134988,22.5795426826998,25.0957357587427,0.522660769451375,11.162398570196,26.324797140392,28.840990216435,0.0803430346167198,9.56477727198527,23.1295545439705,25.6457476200135,0.396996195931905
vacations_2,Vacations dataset 2,vacations_2,15,35,Cost to sample,Cost to sample,1.11646510519479,0.622342498462053,3.98269176258259,11.9653835251652,15.076079648144,0.622342498462053,4.54092431517999,13.08184863036,16.1925447533388,0.356116537285308,7.3462259079878,18.6924518159756,21.8031479389544,0.0215409642526395
