Subject,Sequence,Position,BestFitModel,Source,XValue,StopResponse
2,1,1,Biased-prior,Participants,-0.442863591691662,0
2,1,2,Biased-prior,Participants,-0.131555244902121,1
2,2,1,Biased-prior,Participants,-1.37678863206028,0
2,2,2,Biased-prior,Participants,-1.00321861591284,0
2,2,3,Biased-prior,Participants,0.366538109961144,0
2,2,4,Biased-prior,Participants,-0.816433607839111,0
2,2,5,Biased-prior,Participants,-0.131555244902121,0
2,2,6,Biased-prior,Participants,1.23820148097186,0
2,2,7,Biased-prior,Participants,-0.193816914260029,1
2,3,1,Biased-prior,Participants,-0.131555244902121,1
2,4,1,Biased-prior,Participants,0.926893134182318,0
2,4,2,Biased-prior,Participants,-0.0692935755442129,0
2,4,3,Biased-prior,Participants,1.23820148097186,0
2,4,4,Biased-prior,Participants,-0.131555244902121,1
2,5,1,Biased-prior,Participants,0.304276440603236,1
2,6,1,Biased-prior,Participants,-0.380601922333754,1
2,7,1,Biased-prior,Participants,0.802369795466501,1
2,8,1,Biased-prior,Participants,0.86463146482441,1
2,9,1,Biased-prior,Participants,0.86463146482441,1
2,10,1,Biased-prior,Participants,-0.131555244902121,0
2,10,2,Biased-prior,Participants,-0.50512526104957,0
2,10,3,Biased-prior,Participants,0.117491432529512,1
2,11,1,Biased-prior,Participants,-0.380601922333754,0
2,11,2,Biased-prior,Participants,0.677846456750685,1
2,12,1,Biased-prior,Participants,-1.5013119707761,0
2,12,2,Biased-prior,Participants,-0.0692935755442129,0
2,12,3,Biased-prior,Participants,-0.442863591691662,0
2,12,4,Biased-prior,Participants,0.553323118034869,0
2,12,5,Biased-prior,Participants,-0.50512526104957,1
2,13,1,Biased-prior,Participants,0.615584787392777,0
2,13,2,Biased-prior,Participants,-1.56357364013401,0
2,13,3,Biased-prior,Participants,0.677846456750685,0
2,13,4,Biased-prior,Participants,-0.442863591691662,0
2,13,5,Biased-prior,Participants,-1.37678863206028,0
2,13,6,Biased-prior,Participants,-1.68809697884983,0
2,13,7,Biased-prior,Participants,-1.87488198692355,0
2,14,1,Biased-prior,Participants,2.04760318262466,0
2,14,2,Biased-prior,Participants,-0.629648599765386,0
2,14,3,Biased-prior,Participants,-0.318340252975846,1
2,15,1,Biased-prior,Participants,1.73629483583512,1
2,16,1,Biased-prior,Participants,0.0552297631716034,0
2,16,2,Biased-prior,Participants,0.242014771245328,0
2,16,3,Biased-prior,Participants,1.73629483583512,1
