BestFitModel,Source,Position,ValueBin,Success,Trials,PropStop
Cost-to-sample,Participants,1,1,9,16,0.5625
Cost-to-sample,Participants,1,2,13,46,0.282608695652174
Cost-to-sample,Participants,1,3,39,77,0.506493506493506
Cost-to-sample,Participants,1,4,20,58,0.344827586206897
Cost-to-sample,Participants,1,5,21,49,0.428571428571429
Cost-to-sample,Participants,1,6,31,86,0.36046511627907
Cost-to-sample,Participants,1,7,33,94,0.351063829787234
Cost-to-sample,Participants,1,8,28,63,0.444444444444444
Cost-to-sample,Participants,1,9,25,83,0.301204819277108
Cost-to-sample,Participants,1,10,47,106,0.443396226415094
Cost-to-sample,Participants,1,11,36,82,0.439024390243902
Cost-to-sample,Participants,1,12,15,40,0.375
Cost-to-sample,Participants,2,1,0,15,0
Cost-to-sample,Participants,2,2,2,27,0.0740740740740741
Cost-to-sample,Participants,2,3,0,44,0
Cost-to-sample,Participants,2,4,0,32,0
Cost-to-sample,Participants,2,5,2,33,0.0606060606060606
Cost-to-sample,Participants,2,6,6,52,0.115384615384615
Cost-to-sample,Participants,2,7,3,52,0.0576923076923077
Cost-to-sample,Participants,2,8,1,27,0.037037037037037
Cost-to-sample,Participants,2,9,5,54,0.0925925925925926
Cost-to-sample,Participants,2,10,5,66,0.0757575757575758
Cost-to-sample,Participants,2,11,5,58,0.0862068965517241
Cost-to-sample,Participants,2,12,1,23,0.0434782608695652
Cost-to-sample,Participants,3,1,1,7,0.142857142857143
Cost-to-sample,Participants,3,2,5,32,0.15625
Cost-to-sample,Participants,3,3,3,32,0.09375
Cost-to-sample,Participants,3,4,1,26,0.0384615384615385
Cost-to-sample,Participants,3,5,4,29,0.137931034482759
Cost-to-sample,Participants,3,6,4,38,0.105263157894737
Cost-to-sample,Participants,3,7,8,45,0.177777777777778
Cost-to-sample,Participants,3,8,4,49,0.0816326530612245
Cost-to-sample,Participants,3,9,8,60,0.133333333333333
Cost-to-sample,Participants,3,10,19,66,0.287878787878788
Cost-to-sample,Participants,3,11,9,50,0.18
Cost-to-sample,Participants,3,12,4,19,0.210526315789474
Cost-to-sample,Participants,4,1,5,14,0.357142857142857
Cost-to-sample,Participants,4,2,8,18,0.444444444444444
Cost-to-sample,Participants,4,3,5,26,0.192307692307692
Cost-to-sample,Participants,4,4,0,23,0
Cost-to-sample,Participants,4,5,4,26,0.153846153846154
Cost-to-sample,Participants,4,6,7,34,0.205882352941176
Cost-to-sample,Participants,4,7,3,30,0.1
Cost-to-sample,Participants,4,8,5,43,0.116279069767442
Cost-to-sample,Participants,4,9,8,47,0.170212765957447
Cost-to-sample,Participants,4,10,8,62,0.129032258064516
Cost-to-sample,Participants,4,11,8,41,0.195121951219512
Cost-to-sample,Participants,4,12,2,19,0.105263157894737
Cost-to-sample,Participants,5,1,1,4,0.25
Cost-to-sample,Participants,5,2,6,15,0.4
Cost-to-sample,Participants,5,3,2,22,0.0909090909090909
Cost-to-sample,Participants,5,4,3,21,0.142857142857143
Cost-to-sample,Participants,5,5,1,17,0.0588235294117647
Cost-to-sample,Participants,5,6,3,27,0.111111111111111
Cost-to-sample,Participants,5,7,5,31,0.161290322580645
Cost-to-sample,Participants,5,8,6,33,0.181818181818182
Cost-to-sample,Participants,5,9,8,49,0.163265306122449
Cost-to-sample,Participants,5,10,16,45,0.355555555555556
Cost-to-sample,Participants,5,11,9,31,0.290322580645161
Cost-to-sample,Participants,5,12,6,25,0.24
Cost-to-sample,Participants,6,1,0,5,0
Cost-to-sample,Participants,6,2,0,9,0
Cost-to-sample,Participants,6,3,0,15,0
Cost-to-sample,Participants,6,4,3,18,0.166666666666667
Cost-to-sample,Participants,6,5,2,21,0.0952380952380952
Cost-to-sample,Participants,6,6,3,19,0.157894736842105
Cost-to-sample,Participants,6,7,6,29,0.206896551724138
Cost-to-sample,Participants,6,8,3,16,0.1875
Cost-to-sample,Participants,6,9,13,40,0.325
Cost-to-sample,Participants,6,10,16,44,0.363636363636364
Cost-to-sample,Participants,6,11,3,21,0.142857142857143
Cost-to-sample,Participants,6,12,3,17,0.176470588235294
Cost-to-sample,Participants,7,1,0,2,0
Cost-to-sample,Participants,7,2,2,8,0.25
Cost-to-sample,Participants,7,3,0,14,0
Cost-to-sample,Participants,7,4,2,15,0.133333333333333
Cost-to-sample,Participants,7,5,5,15,0.333333333333333
Cost-to-sample,Participants,7,6,4,14,0.285714285714286
Cost-to-sample,Participants,7,7,2,17,0.117647058823529
Cost-to-sample,Participants,7,8,1,19,0.0526315789473684
Cost-to-sample,Participants,7,9,8,24,0.333333333333333
Cost-to-sample,Participants,7,10,11,34,0.323529411764706
Cost-to-sample,Participants,7,11,3,23,0.130434782608696
Cost-to-sample,Participants,7,12,1,17,0.0588235294117647
Cost-to-sample,Winning model,1,1,7.60101325993871,16,0.47506332874617
Cost-to-sample,Winning model,1,2,12.8162319607782,46,0.278613738277788
Cost-to-sample,Winning model,1,3,32.8606762048056,77,0.426762028633839
Cost-to-sample,Winning model,1,4,18.2726863927956,58,0.315046317117166
Cost-to-sample,Winning model,1,5,20.0553416343426,49,0.409292686415156
Cost-to-sample,Winning model,1,6,27.6469385360548,86,0.321476029489009
Cost-to-sample,Winning model,1,7,26.0804109743631,94,0.277451180578331
Cost-to-sample,Winning model,1,8,18.3646989519054,63,0.291503157966753
Cost-to-sample,Winning model,1,9,19.5599696655015,83,0.235662285126524
Cost-to-sample,Winning model,1,10,30.0495841111461,106,0.283486642557982
Cost-to-sample,Winning model,1,11,24.3500848887175,82,0.296952254740457
Cost-to-sample,Winning model,1,12,12.8614371088149,40,0.321535927720372
Cost-to-sample,Winning model,2,1,2.33503278292547,15,0.155668852195031
Cost-to-sample,Winning model,2,2,3.3352715978527,27,0.123528577698248
Cost-to-sample,Winning model,2,3,4.19134372524457,44,0.0952578119373766
Cost-to-sample,Winning model,2,4,2.65424132202666,32,0.0829450413133332
Cost-to-sample,Winning model,2,5,4.38173978244676,33,0.132779993407478
Cost-to-sample,Winning model,2,6,9.85501437666954,52,0.189519507243645
Cost-to-sample,Winning model,2,7,6.72534351577534,52,0.129333529149526
Cost-to-sample,Winning model,2,8,3.8430639058041,27,0.142335700214966
Cost-to-sample,Winning model,2,9,7.85177620665919,54,0.145403263086281
Cost-to-sample,Winning model,2,10,9.86901132834291,66,0.149530474671862
Cost-to-sample,Winning model,2,11,9.41859793342531,58,0.162389619541816
Cost-to-sample,Winning model,2,12,1.5813144808755,23,0.0687528035163263
Cost-to-sample,Winning model,3,1,1.0397500552983,7,0.148535722185472
Cost-to-sample,Winning model,3,2,4.95756523634613,32,0.154923913635817
Cost-to-sample,Winning model,3,3,3.56035307519312,32,0.111261033599785
Cost-to-sample,Winning model,3,4,2.48053064053874,26,0.0954050246361056
Cost-to-sample,Winning model,3,5,2.94744460687015,29,0.101636020926557
Cost-to-sample,Winning model,3,6,5.59786915527583,38,0.147312346191469
Cost-to-sample,Winning model,3,7,7.31107427920015,45,0.162468317315559
Cost-to-sample,Winning model,3,8,7.475969516545,49,0.152570806460102
Cost-to-sample,Winning model,3,9,10.4104972678934,60,0.173508287798223
Cost-to-sample,Winning model,3,10,14.4491744215654,66,0.218926885175233
Cost-to-sample,Winning model,3,11,9.58999903179868,50,0.191799980635974
Cost-to-sample,Winning model,3,12,4.79276611230014,19,0.252250848015797
Cost-to-sample,Winning model,4,1,2.4674055355422,14,0.176243252538728
Cost-to-sample,Winning model,4,2,3.33546639871379,18,0.185303688817433
Cost-to-sample,Winning model,4,3,3.58423731683632,26,0.137855281416782
Cost-to-sample,Winning model,4,4,2.78022162982358,23,0.120879201296677
Cost-to-sample,Winning model,4,5,3.29091506483775,26,0.126573656339914
Cost-to-sample,Winning model,4,6,4.67859546248065,34,0.13760574889649
Cost-to-sample,Winning model,4,7,5.04448656832907,30,0.168149552277636
Cost-to-sample,Winning model,4,8,9.14187623599803,43,0.212601772930187
Cost-to-sample,Winning model,4,9,11.2471212203783,47,0.239300451497411
Cost-to-sample,Winning model,4,10,16.1782400608542,62,0.260939355820229
Cost-to-sample,Winning model,4,11,8.22849173820855,41,0.200694920444111
Cost-to-sample,Winning model,4,12,2.93080056115407,19,0.154252661113372
Cost-to-sample,Winning model,5,1,1.09513426112832,4,0.27378356528208
Cost-to-sample,Winning model,5,2,3.25976870118095,15,0.217317913412063
Cost-to-sample,Winning model,5,3,2.66518443000971,22,0.121144746818623
Cost-to-sample,Winning model,5,4,3.34066405344859,21,0.159079240640409
Cost-to-sample,Winning model,5,5,2.63951792425053,17,0.155265760250031
Cost-to-sample,Winning model,5,6,3.97245901381033,27,0.147128111622605
Cost-to-sample,Winning model,5,7,4.98883657310593,31,0.160930212035675
Cost-to-sample,Winning model,5,8,8.2232016954426,33,0.249187930164927
Cost-to-sample,Winning model,5,9,15.995498921278,49,0.326438753495469
Cost-to-sample,Winning model,5,10,16.0674057134871,45,0.357053460299714
Cost-to-sample,Winning model,5,11,8.15674798364256,31,0.263120902698147
Cost-to-sample,Winning model,5,12,4.39091888594044,25,0.175636755437617
Cost-to-sample,Winning model,6,1,0.337761544669188,5,0.0675523089338377
Cost-to-sample,Winning model,6,2,1.01525020991195,9,0.112805578879105
Cost-to-sample,Winning model,6,3,2.66173294656865,15,0.177448863104577
Cost-to-sample,Winning model,6,4,3.49134931526036,18,0.193963850847798
