BestFitModel,Source,Position,ThresholdPSE,Slope,Intercept,NTrials,NSuccess,NFailure,FitOK,NegLogLik
Cost-to-sample,Participants,1,10.3240449464061,0.0724650933597191,-0.748132880891252,800,317,483,1,534.485727525828
Cost-to-sample,Participants,2,14.2241942894824,0.295643547217861,-4.20529125605862,483,30,453,1,106.410573674058
Cost-to-sample,Participants,3,12.7449488748693,0.215290376463263,-2.74386484127565,453,70,383,1,188.75926984375
Cost-to-sample,Participants,4,30.2727336382694,0.0633937316308769,-1.91910155199747,383,63,320,1,170.639193696396
Cost-to-sample,Participants,5,10.391905880892,0.247935283320874,-2.57652012882282,320,66,254,1,154.675093401624
Cost-to-sample,Participants,6,8.96229329032628,0.337850101611682,-3.02791169881043,254,52,202,1,117.906120776864
Cost-to-sample,Participants,7,14.7725689668218,0.140571178461113,-2.0765974285642,202,39,163,1,97.5651657246948
Cost-to-sample,Winning model,1,37.7350289049804,0.0236302402640998,-0.891687799397438,800,250.519073689164,549.480926310836,1,497.019652579239
Cost-to-sample,Winning model,2,21.3421831043976,0.109943314103367,-2.34643034069835,483,66.0417509580481,416.958249041952,1,190.892635895077
Cost-to-sample,Winning model,3,12.2256636882516,0.220064743695014,-2.69043754605653,453,74.612993398825,378.387006601175,1,195.809749209782
Cost-to-sample,Winning model,4,13.4825697692501,0.166740518606499,-2.24809067547307,383,72.9078577931566,310.092142206843,1,182.078825839907
Cost-to-sample,Winning model,5,10.3758697720956,0.215845989139268,-2.23958987413821,320,74.7953381567251,245.204661843275,1,167.070570094859
Cost-to-sample,Winning model,6,8.93113646714617,0.233382756034316,-2.08437324322116,254,69.0910132464639,184.908986753536,1,141.846181251616
Cost-to-sample,Winning model,7,8.07095965781895,0.186435113561453,-1.50471028035538,202,68.8186752093687,133.181324790631,1,125.725597390823
Biased-prior,Participants,1,11.3843197302068,0.121629784099559,-1.38467235090541,1480,457,1023,1,902.550093539147
Biased-prior,Participants,2,10.411971575023,0.379555265173634,-3.95191863213821,1023,119,904,1,333.41706777684
Biased-prior,Participants,3,9.09699549235349,0.504867802166999,-4.5927801205476,904,117,787,1,297.667130576542
Biased-prior,Participants,4,9.04486670718852,0.457716773355384,-4.13998720464387,787,114,673,1,283.608017168335
Biased-prior,Participants,5,8.66742774238036,0.510691581792669,-4.42638238382989,673,104,569,1,242.513679086914
Biased-prior,Participants,6,8.10392832422763,0.582332986903277,-4.71918478669755,569,88,481,1,195.093402664783
Biased-prior,Participants,7,7.67447392759854,0.480630599777007,-3.68858700679469,481,109,372,1,218.312286747619
Biased-prior,Winning model,1,24.3521954772635,0.0615245366623655,-1.49825754344999,1480,340.565974795129,1139.43402520487,1,795.683454759352
Biased-prior,Winning model,2,14.6784592055696,0.17742660250936,-2.60434914691644,1023,147.993552669065,875.006447330935,1,412.578138729509
Biased-prior,Winning model,3,11.5733723714029,0.244017365895086,-2.82410384059269,904,146.866335799382,757.133664200618,1,383.586852401279
Biased-prior,Winning model,4,9.14498005665733,0.351437780914896,-3.21389149762263,787,145.768930912454,641.231069087546,1,344.03591117758
Biased-prior,Winning model,5,8.2937240593996,0.367418325421594,-3.04726620541339,673,153.291575003919,519.70842499608,1,323.006974966479
Biased-prior,Winning model,6,7.16483391347333,0.433588656354121,-3.10659070954334,569,146.724343616632,422.275656383368,1,278.397613335318
Biased-prior,Winning model,7,5.79323673105644,0.497186118169283,-2.88031688194966,481,181.437808632933,299.562191367067,1,261.786737139683
