BestFitModel,Source,Position,ThresholdPSE,Slope,Intercept,UpperAsymptote,ThresholdIsExtrapolated,NTrials,NSuccess,NFailure,FitOK,NegLogLik
Cost-to-sample,Participants,1,24.6716130989402,0.0297915670054749,-0.73500601477023,0.999999999999397,1,800,317,483,1,534.316756700124
Cost-to-sample,Participants,2,33.807212696864,0.124502870970393,-4.2090950402663,0.999999999995367,1,483,30,453,1,105.79803248716
Cost-to-sample,Participants,3,31.6692239366683,0.0835098012483785,-2.64469059664156,0.999999999999695,1,453,70,383,1,189.114880823187
Cost-to-sample,Participants,4,69.3253201773129,0.0277674567820426,-1.9249878319248,0.999999999992065,1,383,63,320,1,170.526149734837
Cost-to-sample,Participants,5,24.5191765241542,0.105844137678247,-2.59521109577981,0.999999999999951,1,320,66,254,1,153.595555486914
Cost-to-sample,Participants,6,17.6075817493402,0.15186523202901,-2.67397948783331,0.73090625436771,0,254,52,202,1,117.524186341546
Cost-to-sample,Participants,7,6.16356398838079,0.128821833473921,-0.794001613717046,0.314695649312218,0,202,39,163,1,97.4345053306886
Cost-to-sample,Winning model,1,-47.7351790281574,0.526087263747884,25.1128697194387,0.313148964244236,1,800,250.519073689164,549.480926310836,1,497.277583592313
Cost-to-sample,Winning model,2,4.63329852008078,0.114255041995368,-0.529377716988907,0.213491918871722,0,483,66.041750958048,416.958249041952,1,190.801992847352
Cost-to-sample,Winning model,3,29.4082393267657,0.0899327557192477,-2.6447640035072,0.999999999999324,1,453,74.612993398825,378.387006601175,1,195.532473291285
Cost-to-sample,Winning model,4,32.6745698244552,0.0673702367834153,-2.20129350586978,0.999999999999534,1,383,72.9078577931566,310.092142206844,1,182.008810775107
Cost-to-sample,Winning model,5,11.0099290306033,0.132222676477673,-1.4557622842556,0.475007321549997,0,320,74.7953381567251,245.204661843275,1,167.248763041776
Cost-to-sample,Winning model,6,6.03569396866213,0.253451450463878,-1.5297553909135,0.403370665830511,0,254,69.0910132464639,184.908986753536,1,140.803533837811
Cost-to-sample,Winning model,7,6.90419633935884,0.127251370282401,-0.878568444882151,0.57517537185802,0,202,68.8186752093687,133.181324790631,1,125.625718633468
Biased-prior,Participants,1,23.4381999727683,0.0637279549659591,-1.49366855234773,0.999999999999816,1,1480,457,1023,1,893.917569597484
Biased-prior,Participants,2,23.756891760381,0.1646525355179,-3.91163246437102,0.999999999999994,1,1023,119,904,1,327.656865663426
Biased-prior,Participants,3,21.6205074662275,0.196066361780302,-4.23905423874707,0.999999999999925,1,904,117,787,1,297.663810169186
Biased-prior,Participants,4,22.4090328451021,0.160168515831339,-3.58922153201573,0.999999999999888,1,787,114,673,1,290.507217808414
Biased-prior,Participants,5,20.0605828554186,0.21554910968922,-4.32404077433231,0.99999999999998,1,673,104,569,1,234.975241364397
Biased-prior,Participants,6,18.5196826920694,0.248070716717262,-4.59419095879792,0.99999999999999,0,569,88,481,1,188.931925725061
Biased-prior,Participants,7,17.9102250064259,0.185476521875619,-3.32192624020162,0.999999999999885,0,481,109,372,1,219.577991969019
Biased-prior,Winning model,1,42.132021892921,0.0384677860688047,-1.62072560482308,0.999999999998366,1,1480,340.565974795129,1139.43402520487,1,791.891142603349
Biased-prior,Winning model,2,31.6358558884632,0.083880222418821,-2.65362262833406,0.999999999999749,1,1023,147.993552669065,875.006447330935,1,408.99046702856
Biased-prior,Winning model,3,26.6412460746816,0.103803855322158,-2.76546405313826,0.999999999998163,1,904,146.866335799382,757.133664200618,1,381.39212970502
Biased-prior,Winning model,4,21.3325442454277,0.142870864856061,-3.04779904592445,0.9999999999996,1,787,145.768930912454,641.231069087546,1,342.370192118449
Biased-prior,Winning model,5,14.2030591178237,0.177882495882718,-2.52647560504828,0.658428479130417,0,673,153.291575003919,519.70842499608,1,323.620482384089
Biased-prior,Winning model,6,14.257189205325,0.19666583382825,-2.80390200311237,0.830400051829398,0,569,146.724343616632,422.275656383368,1,278.493290783332
Biased-prior,Winning model,7,12.0893482954972,0.212971809599742,-2.57469038337359,0.927156392606246,0,481,181.437808632933,299.562191367067,1,262.622484934057
