Subject,Sequence,Position,BestFitModel,Source,ValueBin,StopResponse
2,1,1,Biased-prior,Participants,3,0
2,1,2,Biased-prior,Participants,4,1
2,2,1,Biased-prior,Participants,1,0
2,2,2,Biased-prior,Participants,2,0
2,2,3,Biased-prior,Participants,6,0
2,2,4,Biased-prior,Participants,2,0
2,2,5,Biased-prior,Participants,4,0
2,2,6,Biased-prior,Participants,8,0
2,2,7,Biased-prior,Participants,4,1
2,3,1,Biased-prior,Participants,4,1
2,4,1,Biased-prior,Participants,7,0
2,4,2,Biased-prior,Participants,4,0
2,4,3,Biased-prior,Participants,8,0
2,4,4,Biased-prior,Participants,4,1
2,5,1,Biased-prior,Participants,6,1
2,6,1,Biased-prior,Participants,3,1
2,7,1,Biased-prior,Participants,7,1
2,8,1,Biased-prior,Participants,7,1
2,9,1,Biased-prior,Participants,7,1
2,10,1,Biased-prior,Participants,4,0
2,10,2,Biased-prior,Participants,3,0
2,10,3,Biased-prior,Participants,5,1
2,11,1,Biased-prior,Participants,3,0
2,11,2,Biased-prior,Participants,7,1
2,12,1,Biased-prior,Participants,1,0
2,12,2,Biased-prior,Participants,4,0
2,12,3,Biased-prior,Participants,3,0
2,12,4,Biased-prior,Participants,6,0
2,12,5,Biased-prior,Participants,3,1
2,13,1,Biased-prior,Participants,6,0
2,13,2,Biased-prior,Participants,1,0
2,13,3,Biased-prior,Participants,7,0
2,13,4,Biased-prior,Participants,3,0
2,13,5,Biased-prior,Participants,1,0
2,13,6,Biased-prior,Participants,1,0
2,13,7,Biased-prior,Participants,1,0
2,14,1,Biased-prior,Participants,8,0
2,14,2,Biased-prior,Participants,2,0
2,14,3,Biased-prior,Participants,3,1
2,15,1,Biased-prior,Participants,8,1
2,16,1,Biased-prior,Participants,5,0
2,16,2,Biased-prior,Participants,5,0
2,16,3,Biased-prior,Participants,8,1
2,17,1,Biased-prior,Participants,4,1
2,18,1,Biased-prior,Participants,5,1
2,19,1,Biased-prior,Participants,7,1
2,20,1,Biased-prior,Participants,4,1
2,21,1,Biased-prior,Participants,3,1
2,22,1,Biased-prior,Participants,2,1
2,23,1,Biased-prior,Participants,1,1
2,24,1,Biased-prior,Participants,7,1
2,25,1,Biased-prior,Participants,8,1
2,26,1,Biased-prior,Participants,3,1
2,27,1,Biased-prior,Participants,2,1
2,28,1,Biased-prior,Participants,2,1
2,29,1,Biased-prior,Participants,5,1
2,30,1,Biased-prior,Participants,5,0
2,30,2,Biased-prior,Participants,1,0
2,30,3,Biased-prior,Participants,8,0
2,30,4,Biased-prior,Participants,7,0
2,30,5,Biased-prior,Participants,2,0
2,30,6,Biased-prior,Participants,8,0
2,30,7,Biased-prior,Participants,6,1
2,31,1,Biased-prior,Participants,3,0
2,31,2,Biased-prior,Participants,2,0
2,31,3,Biased-prior,Participants,5,0
2,31,4,Biased-prior,Participants,1,0
2,31,5,Biased-prior,Participants,6,1
2,32,1,Biased-prior,Participants,6,0
2,32,2,Biased-prior,Participants,8,1
