Subject,Model,BestFitModel,Mode,NPoints,LinearIntercept,LinearSlope,LinearR2,LinearSSE,LinearAIC,LinearBIC,QuadIntercept,QuadSlope,QuadTerm,QuadR2,QuadSSE,QuadAIC,QuadBIC,DeltaBIC_QuadMinusLinear
1,Biased-prior,Cut off,absolute,7,0.756398025966196,0.0246801829923019,0.974350099535852,0.000448978384112699,-63.5811217390693,-63.6893014409587,0.783663356498168,0.00650329597098741,0.00227211087766431,0.999124239073301,1.53294055190514e-05,-85.2215345567025,-85.3838041095365,-21.6945026685778
1,Cost-to-sample,Cut off,absolute,7,800.480958336591,-100.001656360193,0.999999999956926,1.20612109270715e-05,-88.8999827855021,-89.0081624873915,800.481897753993,-100.002282638461,7.82847834465612e-05,0.999999999958764,1.15464163122388e-05,-87.2053191593579,-87.3675887121919,1.64057377519956
2,Biased-prior,Biased-prior,absolute,7,0.88939492493968,-0.0466618754141475,0.879857176314687,0.00832468990828237,-43.1410774878333,-43.2492571897227,0.772384275099056,0.0313452244796015,-0.00975088748671863,0.99512214754682,0.000337986138876125,-63.5689107513379,-63.731180304172,-20.4819231144493
2,Cost-to-sample,Biased-prior,absolute,7,0.912336150292541,-0.0514803538325354,0.904968848299893,0.00779243952647852,-43.6035801912005,-43.7117598930898,0.799592812227553,0.0236818715441235,-0.00939527817208238,0.995394391055436,0.000377654364290726,-62.7920891691868,-62.9543587220209,-19.2425988289311
3,Biased-prior,Biased-prior,absolute,7,0.835269923381262,-0.00195136270762121,0.0150512587320248,0.00697709829420731,-44.3772262040185,-44.4854059059078,0.744218908172744,0.0587493140980576,-0.00758758460070986,0.697743814219051,0.00214109732808127,-50.6464287220576,-50.8086982748916,-6.32329236898379
3,Cost-to-sample,Biased-prior,absolute,7,1.93560450818641,-0.175277575227773,0.998141499960861,0.00160170011371209,-54.678198542955,-54.7863782448444,1.8866145039458,-0.142617572400699,-0.00408250035338422,0.999765975275485,0.000201688146340031,-67.182886227862,-67.345155780696,-12.5587775358517
4,Biased-prior,Biased-prior,absolute,7,0.889988450563192,-0.019872939308388,0.3982486921458,0.0167087872158207,-38.264114664878,-38.3722943667674,0.734273891756636,0.0839367665626494,-0.0129762132338797,0.907635094470933,0.00256468998496717,-49.3827947419591,-49.5450642947931,-11.1727699280258
4,Cost-to-sample,Biased-prior,absolute,7,2.27711497975967,-0.217584892047565,0.998891608712151,0.00147092403326425,-55.2744224147039,-55.3826021165933,2.23160538721541,-0.187245163684726,-0.0037924660453548,0.999801994664934,0.000262768942030101,-65.3310192588339,-65.493288811668,-10.1106866950747
5,Biased-prior,Biased-prior,absolute,7,0.854317132466856,-0.0109949001813581,0.190314328144935,0.0144007655889281,-39.3046883987968,-39.4128681006862,0.715840465967568,0.0813228774848342,-0.011539722208274,0.819242237832321,0.00321488974282097,-47.8011065588387,-47.9633761116728,-8.55050801098665
5,Cost-to-sample,Biased-prior,absolute,7,1.93586887494937,-0.177762374998638,0.997893608664137,0.00186763729625664,-53.6029389177886,-53.7111186196779,1.88514850707508,-0.143948796415775,-0.00422669732285792,0.999586106434524,0.000366979794496117,-62.9927974144468,-63.1550669672808,-9.44394834760289
6,Biased-prior,Cut off,absolute,7,0.858260813159501,0.0103802667178505,0.84869348995334,0.000537875546208885,-62.3165545025707,-62.4247342044601,0.840427100974675,0.0222694081744012,-0.00148614268206885,0.900882146196581,0.000352351460205682,-63.2775409414493,-63.4398104942834,-1.01507628982329
6,Cost-to-sample,Cut off,absolute,7,10.4547679178097,-1.23328508646212,0.999995857364066,0.000176426394193845,-70.1196186338346,-70.227798335724,10.4710129665252,-1.2441151189391,0.00135375405962173,0.999999472062242,2.24837896626445e-05,-82.54038281832,-82.7026523711541,-12.4748540354301
7,Biased-prior,Cost-to-sample,absolute,7,0.769667484954731,-0.0148786945096625,0.239769011396489,0.019653513477862,-37.1278651193262,-37.2360448212156,0.601911595369295,0.0969585652139612,-0.013979657465453,0.874774843686497,0.00323732435834496,-47.7524277831251,-47.9146973359592,-10.6786525147436
7,Cost-to-sample,Cost-to-sample,absolute,7,265.778629064838,-33.1753193751789,0.99999998878085,0.000345738879471581,-65.4101583034093,-65.5183380052987,265.755649345262,-33.1599995621278,-0.00191497663139347,0.99999999877666,3.76994975773759e-05,-78.9224175766014,-79.0846871294354,-13.5663491241367
8,Biased-prior,Cost-to-sample,absolute,7,0.893310116042408,-0.0289081808046302,0.588923213093788,0.0163329200583776,-38.4233790502435,-38.5315587521329,0.732314837359934,0.0784220049836858,-0.0134162732235395,0.969464858096385,0.00121322353284994,-54.62269173839,-54.7849612912241,-16.2534025390912
8,Cost-to-sample,Cost-to-sample,absolute,7,1.48805243291405,-0.119977233634793,0.986515015189089,0.00550937686735734,-46.0304973174414,-46.1386770193308,1.39470724228088,-0.0577471065460157,-0.00777876588609717,0.998955825501228,0.000426604175657831,-61.9389487896195,-62.1012183424536,-15.9625413231228
9,Biased-prior,Biased-prior,absolute,7,0.794114735670563,-0.0154828493966393,0.261648434362021,0.0189410857337539,-37.386324119103,-37.4945038209924,0.631002567806653,0.0932585958459672,-0.0135926806553258,0.86663794357031,0.00342116447234978,-47.365791121475,-47.528060674309,-10.0335568533166
9,Cost-to-sample,Biased-prior,absolute,7,1.83194325222851,-0.175833436401842,0.994547331223065,0.00474618453471668,-47.07427072036,-47.1824504222494,1.74526408728706,-0.118047326440873,-0.00722326374512112,0.999582461696642,0.000363439247663978,-63.0606598892873,-63.2229294421213,-16.0404790198719
10,Biased-prior,Cost-to-sample,absolute,7,0.787645988719584,0.00312559376855421,0.0344729418183627,0.00766141872444409,-43.7222777455632,-43.8304574474526,0.694885370981052,0.0649660055942422,-0.00773005147821102,0.667029421109605,0.00264210827255756,-49.1746176904373,-49.3368872432714,-5.50642979581884
10,Cost-to-sample,Cost-to-sample,absolute,7,174.795221485246,-21.7953404619382,0.999999982100334,0.000238084036522634,-68.0215790072691,-68.1297587091584,174.776657594568,-21.7829645348193,-0.00154699088987005,0.999999997213987,3.70568482044398e-05,-79.0427727487151,-79.2050423015491,-11.0752835923907
