Subject,Model,BestFitModel,Position,MeanThreshold,NObs
1,Biased-prior,Cut off,1,0.791479658406629,40
1,Biased-prior,Cut off,2,0.80726187206758,40
1,Biased-prior,Cut off,3,0.824349275497639,40
1,Biased-prior,Cut off,4,0.845056680572612,40
1,Biased-prior,Cut off,5,0.870893083660987,40
1,Biased-prior,Cut off,6,0.90690817105098,40
1,Biased-prior,Cut off,7,0.939882564291397,40
1,Cost-to-sample,Cut off,1,700.480154137548,40
1,Cost-to-sample,Cut off,2,600.476537602359,40
1,Cost-to-sample,Cut off,3,500.476890315432,40
1,Cost-to-sample,Cut off,4,400.473629120005,40
1,Cost-to-sample,Cut off,5,300.470967188697,40
1,Cost-to-sample,Cut off,6,200.473373061402,40
1,Cost-to-sample,Cut off,7,100.468778845296,40
2,Biased-prior,Biased-prior,1,0.795136198921305,40
2,Biased-prior,Biased-prior,2,0.798198514753585,40
2,Biased-prior,Biased-prior,3,0.776260715109134,40
2,Biased-prior,Biased-prior,4,0.732576786458637,40
2,Biased-prior,Biased-prior,5,0.688631038070146,40
2,Biased-prior,Biased-prior,6,0.622383337292523,40
2,Biased-prior,Biased-prior,7,0.506045372376299,40
2,Cost-to-sample,Biased-prior,1,0.814879150134979,40
2,Cost-to-sample,Biased-prior,2,0.811983118153356,40
2,Cost-to-sample,Biased-prior,3,0.783569103773747,40
2,Cost-to-sample,Biased-prior,4,0.734222739430647,40
2,Cost-to-sample,Biased-prior,5,0.686437534241356,40
2,Cost-to-sample,Biased-prior,6,0.617149148075096,40
2,Cost-to-sample,Biased-prior,7,0.496662350927617,40
3,Biased-prior,Biased-prior,1,0.808372397140441,40
3,Biased-prior,Biased-prior,2,0.822935325372424,40
3,Biased-prior,Biased-prior,3,0.836098506495052,40
3,Biased-prior,Biased-prior,4,0.849011796806242,40
3,Biased-prior,Biased-prior,5,0.860607735360982,40
3,Biased-prior,Biased-prior,6,0.853836182554053,40
3,Biased-prior,Biased-prior,7,0.761389364126247,40
3,Cost-to-sample,Biased-prior,1,1.7426986635652,40
3,Cost-to-sample,Biased-prior,2,1.5845853282071,40
3,Cost-to-sample,Biased-prior,3,1.41711628744625,40
3,Cost-to-sample,Biased-prior,4,1.24732317551528,40
3,Cost-to-sample,Biased-prior,5,1.07426201896579,40
3,Cost-to-sample,Biased-prior,6,0.894073122470241,40
3,Cost-to-sample,Biased-prior,7,0.681400854757381,40
4,Biased-prior,Biased-prior,1,0.822310889073499,40
4,Biased-prior,Biased-prior,2,0.836901700058359,40
4,Biased-prior,Biased-prior,3,0.848853269989248,40
4,Biased-prior,Biased-prior,4,0.856179696743053,40
4,Biased-prior,Biased-prior,5,0.848150015450905,40
4,Biased-prior,Biased-prior,6,0.79824682473656,40
4,Biased-prior,Biased-prior,7,0.662834457255858,40
4,Cost-to-sample,Biased-prior,1,2.04373338357778,40
4,Cost-to-sample,Biased-prior,2,1.84041559512181,40
4,Cost-to-sample,Biased-prior,3,1.63189145301435,40
4,Cost-to-sample,Biased-prior,4,1.41880443162943,40
4,Cost-to-sample,Biased-prior,5,1.20087955649496,40
4,Cost-to-sample,Biased-prior,6,0.984444123278172,40
4,Cost-to-sample,Biased-prior,7,0.727259337869391,40
5,Biased-prior,Biased-prior,1,0.803600907361173,40
5,Biased-prior,Biased-prior,2,0.819440733359267,40
5,Biased-prior,Biased-prior,3,0.833612325439921,40
5,Biased-prior,Biased-prior,4,0.847349459985676,40
5,Biased-prior,Biased-prior,5,0.854645014290581,40
