Subject,Model,BestFitModel,MeanLinearSlope,MeanLinearR2,MeanQuadTerm,MeanQuadR2,MeanDeltaBIC_QuadMinusLinear,NSequencesLinear,NSequencesQuadratic
1,Biased-prior,Cut off,0.0211610854280721,0.974104295373607,0.0021440834014531,0.995652007992067,-16.8427292704132,15,14
1,Cost-to-sample,Cut off,-100.003660515448,0.999999993115937,0.00254837353708493,0.999999996253991,-8.57875024074389,15,14
2,Biased-prior,Biased-prior,-0.0251510047151883,0.821181925613997,-0.0175830201669701,0.982519094506892,-38.6301354167018,19,16
2,Cost-to-sample,Biased-prior,-0.0300960244136549,0.833663998395249,-0.0165588929272086,0.983532395614671,-36.5886837851512,19,16
3,Biased-prior,Biased-prior,0.00289869870040454,0.440011713795125,-0.005622549881019,0.811825841232192,-9.57836426858086,37,36
3,Cost-to-sample,Biased-prior,-0.173471159671093,0.996764848788626,-0.00520010549087373,0.999132191199434,-11.5846281800314,37,36
4,Biased-prior,Biased-prior,-0.00363811619048116,0.530896805774416,-0.00775616077453392,0.915516301041651,-16.4167931476287,38,36
4,Cost-to-sample,Biased-prior,-0.212544783399126,0.997664821650053,-0.00430500623155522,0.999095298412196,-11.6745063931553,38,36
5,Biased-prior,Biased-prior,0.00318020485994052,0.581540356242284,-0.00657714578050532,0.878575381010294,-17.9345794484517,37,32
5,Cost-to-sample,Biased-prior,-0.174535700668091,0.995886233967516,-0.0076577867660251,0.998812534173088,-17.8300318763958,37,32
6,Biased-prior,Cut off,0.0104519372727159,0.757284050073942,-0.00139134840484585,0.854362351852341,-2.59641699204468,34,32
6,Cost-to-sample,Cut off,-1.2346883246697,0.999929948005996,0.00117660249912796,0.999957249623138,-2.11488982255639,34,32
7,Biased-prior,Cost-to-sample,0.0167777835955763,0.887509580381914,-0.00228244706551876,0.982667705337118,-19.9374206754868,38,36
7,Cost-to-sample,Cost-to-sample,-33.1693408275345,0.999999851360095,-0.00155484282677735,0.999999941779034,-20.6599060066089,38,36
8,Biased-prior,Cost-to-sample,-0.0107264970241256,0.541520306058934,-0.00979526427356843,0.955385529539971,-20.6620812076803,34,32
8,Cost-to-sample,Cost-to-sample,-0.110315384674135,0.986932838105351,-0.00777387559059704,0.997702050045257,-18.5618585291834,34,32
9,Biased-prior,Biased-prior,-0.00442912742378944,0.431951544245359,-0.0101693263186654,0.856035526195165,-13.8283521746795,36,35
9,Cost-to-sample,Biased-prior,-0.171785807858578,0.987452322658728,-0.0108240772707951,0.996504801540178,-14.001773034653,36,35
10,Biased-prior,Cost-to-sample,0.00550319029229995,0.331555868879991,-0.00663333258778177,0.77374963395664,-6.40662149241177,35,35
10,Cost-to-sample,Cost-to-sample,-21.7946557008926,0.999999702153028,-0.00194764732975373,0.999999816921076,-2.92068069232694,35,35
11,Biased-prior,Biased-prior,-0.0125632986297121,0.491374753198556,-0.0116337264500871,0.946338112910127,-22.2756013345968,37,36
11,Cost-to-sample,Biased-prior,-0.0975767789670906,0.970467764594067,-0.0123554692396931,0.994771403176361,-18.6193746860825,37,36
12,Biased-prior,Biased-prior,-0.104145887736834,0.952685746116188,-0.0111313844874176,0.985335885339907,-6.25394774828023,1,1
12,Cost-to-sample,Biased-prior,0.00761022636523426,0.510365781672541,0.000787398541248266,0.526756457658437,1.70757082771643,1,1
13,Biased-prior,Cost-to-sample,-0.00139515072188097,0.409090078876276,-0.00584496943738279,0.845847640802105,-9.68795080425404,34,34
13,Cost-to-sample,Cost-to-sample,-0.657995780803219,0.999740440796036,-0.000629065938925033,0.999824358453092,-3.87840343141853,34,34
14,Biased-prior,Cut off,-0.00415581506891971,0.315262857054007,-0.00906632274655164,0.818946984613518,-12.6310012925867,35,35
14,Cost-to-sample,Cut off,-0.663560161942013,0.999667148094321,-0.00462578891209945,0.999886812036111,-9.61621476900391,35,35
15,Biased-prior,Cost-to-sample,NaN,NaN,NaN,NaN,NaN,0,0
15,Cost-to-sample,Cost-to-sample,NaN,NaN,NaN,NaN,NaN,0,0
16,Biased-prior,Biased-prior,0.000214656179817503,0.428847335023651,-0.010120560594911,0.819828023500196,-11.8021800435906,37,33
16,Cost-to-sample,Biased-prior,-0.186912491340158,0.989747608747767,-0.00889437403516743,0.996890296611279,-12.0368356625991,37,33
17,Biased-prior,Biased-prior,0.00307065236547312,0.548788262187887,-0.00489692762464375,0.861259823179159,-13.9351967628058,37,33
17,Cost-to-sample,Biased-prior,-0.131117994692563,0.993899629037432,-0.00484678319769856,0.998358457898816,-13.3225198977828,37,33
18,Biased-prior,Biased-prior,-0.0181855338842494,0.66761310564655,-0.0105263946031492,0.971306595602496,-27.2050664262476,25,21
18,Cost-to-sample,Biased-prior,-0.048148720346415,0.934458573698165,-0.00967623989416362,0.9916719487387,-23.7184967303344,25,21
19,Biased-prior,Biased-prior,0.00291743928709623,0.782910145951307,-0.00506168543104347,0.950217997902213,-33.0794667145074,34,23
19,Cost-to-sample,Biased-prior,-0.0798618247516223,0.989302764798376,-0.00355267811636148,0.996444493827624,-34.6026549446122,34,23
20,Biased-prior,Biased-prior,-0.011762284266146,0.677326609656152,-0.0104498901360636,0.959256762293475,-28.5990093885943,18,15
20,Cost-to-sample,Biased-prior,-0.0490002267188933,0.945552248150126,-0.0108535413805622,0.990489186741181,-22.9503213660424,18,15
21,Biased-prior,Biased-prior,0.0154258349494834,0.786380973174239,-0.00113440225505585,0.888842604813819,-13.4562731276571,36,34
21,Cost-to-sample,Biased-prior,-0.175764599011547,0.990938939343789,-0.00796278776392554,0.996712823029052,-11.2296713784857,36,34
22,Biased-prior,Cost-to-sample,0.000820655441863936,0.673894050757023,-0.0045062317004585,0.92126124117458,-22.7919014333252,35,32
