Subject,Sequence,Model,BestFitModel,NPoints,LinearSlope,LinearR2,LinearBIC,QuadTerm,QuadR2,QuadBIC,DeltaBIC_QuadMinusLinear
1,1,Biased-prior,Cut off,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,Cost-to-sample,Cut off,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,2,Biased-prior,Cut off,7,0.0354331155518282,0.937883772566204,-52.167968531237,0.00513463562387045,0.996967903862511,-71.3603300208906,-19.1923614896536
1,2,Cost-to-sample,Cut off,7,-99.9965943176182,0.999999997034594,-59.385975982622,-0.00247786763338451,0.999999998876668,-64.2350668862398,-4.84909090361779
1,3,Biased-prior,Cut off,2,0.0144465122553165,1,-72.0873067782343,NaN,NaN,NaN,NaN
1,3,Cost-to-sample,Cut off,2,-100.004170841493,1,-72.0873067782343,NaN,NaN,NaN,NaN
1,4,Biased-prior,Cut off,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,4,Cost-to-sample,Cut off,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,5,Biased-prior,Cut off,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,5,Cost-to-sample,Cut off,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,Biased-prior,Cut off,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,Cost-to-sample,Cut off,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,7,Biased-prior,Cut off,6,0.0216337738890792,0.991679335911562,-64.6797739548544,0.00131551636293313,0.999502058316494,-79.7841007666975,-15.1043268118431
1,7,Cost-to-sample,Cut off,6,-100.014051793737,0.999999986344315,-43.3847635887387,0.000415249552144503,0.99999998638109,-41.6091841080388,1.77557948069982
1,8,Biased-prior,Cut off,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,8,Cost-to-sample,Cut off,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,9,Biased-prior,Cut off,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,9,Cost-to-sample,Cut off,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,10,Biased-prior,Cut off,5,0.0209734925498179,0.970599870326997,-49.4449233453947,0.00303832005896969,0.999116210980507,-65.3581654106724,-15.9132420652777
1,10,Cost-to-sample,Cut off,5,-100.027709962803,0.999999988588877,-38.7043020007836,0.0089960030388041,0.99999999991253,-61.4501206411561,-22.7458186403725
1,11,Biased-prior,Cut off,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,11,Cost-to-sample,Cut off,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,12,Biased-prior,Cut off,5,0.0178788536786558,0.991564630046478,-57.3910072824324,0.00138515980519319,0.999897018020439,-77.8097435507546,-20.4187362683222
1,12,Cost-to-sample,Cut off,5,-100.00412845376,0.999999992094238,-40.54164333988,-0.00394909392719252,0.999999994277406,-40.5480534571812,-0.00641011730120766
1,13,Biased-prior,Cut off,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,13,Cost-to-sample,Cut off,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,14,Biased-prior,Cut off,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,14,Cost-to-sample,Cut off,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,15,Biased-prior,Cut off,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,15,Cost-to-sample,Cut off,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,16,Biased-prior,Cut off,5,0.0171989039984219,0.989245229973662,-56.5524488487553,0.00145723579849549,0.999187604503523,-67.8585977978653,-11.30614894911
1,16,Cost-to-sample,Cut off,5,-100.010623162294,0.999999991104098,-39.9509998080832,0.00240119005819737,0.999999991911127,-38.8170680983354,1.13393170974781
1,17,Biased-prior,Cut off,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,17,Cost-to-sample,Cut off,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,18,Biased-prior,Cut off,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,18,Cost-to-sample,Cut off,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,19,Biased-prior,Cut off,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,19,Cost-to-sample,Cut off,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,20,Biased-prior,Cut off,3,0.0179380848949328,0.999583370783652,-46.4928373739834,0.000634310721341817,1,-108.130960167351,-61.6381227933681
1,20,Cost-to-sample,Cut off,3,-99.9845843358966,0.999999984287544,-25.2955108313689,0.0217077949266293,1,-108.130960167351,-82.8354493359826
