Subject,BestFitModel,Position,MeanThreshold,NObs
7,Cost-to-sample,1,232.590913048142,40
7,Cost-to-sample,2,199.432105072176,40
7,Cost-to-sample,3,166.259308898939,40
7,Cost-to-sample,4,133.084699383179,40
7,Cost-to-sample,5,99.9045340012475,40
7,Cost-to-sample,6,66.7269199540698,40
7,Cost-to-sample,7,33.5429805911064,40
8,Cost-to-sample,1,1.33494081869157,40
8,Cost-to-sample,2,1.24422930829111,40
8,Cost-to-sample,3,1.14474565893202,40
8,Cost-to-sample,4,1.0349750253801,40
8,Cost-to-sample,5,0.916916237322907,40
8,Cost-to-sample,6,0.781844367527369,40
8,Cost-to-sample,7,0.599353072479037,40
10,Cost-to-sample,1,152.991127944584,40
10,Cost-to-sample,2,131.20617208359,40
10,Cost-to-sample,3,109.414811695564,40
10,Cost-to-sample,4,87.6188673297334,40
10,Cost-to-sample,5,65.819833863328,40
10,Cost-to-sample,6,44.027440738066,40
10,Cost-to-sample,7,22.2187638075885,40
13,Cost-to-sample,1,5.18883727309282,40
13,Cost-to-sample,2,4.52786861892869,40
13,Cost-to-sample,3,3.86927945162065,40
13,Cost-to-sample,4,3.21322626619587,40
13,Cost-to-sample,5,2.55513193409761,40
13,Cost-to-sample,6,1.89056467070029,40
13,Cost-to-sample,7,1.23582929082043,40
15,Cost-to-sample,1,-58.3516901918617,40
15,Cost-to-sample,2,-58.341190363995,40
15,Cost-to-sample,3,-58.344527094979,40
15,Cost-to-sample,4,-58.3547957533527,40
15,Cost-to-sample,5,-58.3587399967949,40
15,Cost-to-sample,6,-58.3687675025941,40
15,Cost-to-sample,7,-58.3815313612824,40
22,Cost-to-sample,1,1.38678446923884,40
22,Cost-to-sample,2,1.29513647163231,40
22,Cost-to-sample,3,1.19818247219258,40
22,Cost-to-sample,4,1.10146134468739,40
22,Cost-to-sample,5,1.00246977986335,40
22,Cost-to-sample,6,0.89196398702256,40
22,Cost-to-sample,7,0.733254251090991,40
26,Cost-to-sample,1,226.397540282215,40
26,Cost-to-sample,2,194.113097453526,40
26,Cost-to-sample,3,161.836819914612,40
26,Cost-to-sample,4,129.549703330101,40
26,Cost-to-sample,5,97.2726549268518,40
26,Cost-to-sample,6,64.9802540334059,40
26,Cost-to-sample,7,32.6931829431179,40
30,Cost-to-sample,1,1.28014991180418,40
30,Cost-to-sample,2,1.20200302153245,40
30,Cost-to-sample,3,1.11196084615356,40
30,Cost-to-sample,4,1.02485764802203,40
30,Cost-to-sample,5,0.929238735932832,40
30,Cost-to-sample,6,0.812319704711849,40
30,Cost-to-sample,7,0.649660812639882,40
33,Cost-to-sample,1,110.145083827373,40
33,Cost-to-sample,2,94.4881989789039,40
33,Cost-to-sample,3,78.8358930796728,40
33,Cost-to-sample,4,63.1847081895705,40
33,Cost-to-sample,5,47.5380074537445,40
33,Cost-to-sample,6,31.8985058185675,40
33,Cost-to-sample,7,16.2528686796082,40
34,Cost-to-sample,1,0.998123568938223,40
34,Cost-to-sample,2,0.960298739283827,40
34,Cost-to-sample,3,0.905392747161127,40
34,Cost-to-sample,4,0.829280128790421,40
34,Cost-to-sample,5,0.735444444702521,40
34,Cost-to-sample,6,0.623948779590497,40
34,Cost-to-sample,7,0.484302785271018,40
35,Cost-to-sample,1,-99.5690513742106,40
35,Cost-to-sample,2,-99.5702273574642,40
35,Cost-to-sample,3,-99.5733665450486,40
35,Cost-to-sample,4,-99.5752929055772,40
35,Cost-to-sample,5,-99.5856287863798,40
35,Cost-to-sample,6,-99.5886793816161,40
35,Cost-to-sample,7,-99.6009063486341,40
37,Cost-to-sample,1,1.39480673581002,40
37,Cost-to-sample,2,1.29211626023291,40
37,Cost-to-sample,3,1.17521568231703,40
37,Cost-to-sample,4,1.05642920615312,40
37,Cost-to-sample,5,0.930204137539096,40
37,Cost-to-sample,6,0.782115008319159,40
37,Cost-to-sample,7,0.59789022704649,40
39,Cost-to-sample,1,2.39714934223566,40
39,Cost-to-sample,2,2.14255008925639,40
39,Cost-to-sample,3,1.89140156170842,40
39,Cost-to-sample,4,1.64697760441598,40
39,Cost-to-sample,5,1.40473226530822,40
39,Cost-to-sample,6,1.16560075128483,40
39,Cost-to-sample,7,0.912323879192123,40
49,Cost-to-sample,1,-1.65426168886106,40
49,Cost-to-sample,2,-1.64990799630305,40
49,Cost-to-sample,3,-1.6496780449511,40
49,Cost-to-sample,4,-1.65058011509662,40
49,Cost-to-sample,5,-1.6550543001191,40
49,Cost-to-sample,6,-1.66362567480719,40
49,Cost-to-sample,7,-1.669542856814,40
52,Cost-to-sample,1,2.05205939254023,40
52,Cost-to-sample,2,1.84217779260952,40
52,Cost-to-sample,3,1.63655878773801,40
52,Cost-to-sample,4,1.43215107537235,40
52,Cost-to-sample,5,1.22403798517186,40
52,Cost-to-sample,6,1.02050192232149,40
52,Cost-to-sample,7,0.77829945891189,40
58,Cost-to-sample,1,-98.8796664841,40
58,Cost-to-sample,2,-98.8899497190717,40
58,Cost-to-sample,3,-98.8893981678417,40
58,Cost-to-sample,4,-98.8913194389129,40
58,Cost-to-sample,5,-98.8870291934326,40
58,Cost-to-sample,6,-98.8860127116041,40
58,Cost-to-sample,7,-98.882998430039,40
60,Cost-to-sample,1,-99.5034922746775,40
60,Cost-to-sample,2,-99.4994163737794,40
60,Cost-to-sample,3,-99.5033265564721,40
60,Cost-to-sample,4,-99.5078683405305,40
60,Cost-to-sample,5,-99.5133271878707,40
60,Cost-to-sample,6,-99.5166249575735,40
60,Cost-to-sample,7,-99.521369598885,40
61,Cost-to-sample,1,0.742325208629763,40
61,Cost-to-sample,2,0.737923623328933,40
61,Cost-to-sample,3,0.720669115229123,40
61,Cost-to-sample,4,0.703511083418471,40
